frame,step_scale,cum_scale_vs_f271,n_blobs,n_matched,dx,dy
271,1.00000,1.00000,160,0,0.00000,0.00000
272,1.00016,1.00016,142,141,0.10153,-0.04482
273,0.99995,1.00011,141,137,-0.03483,-0.00352
274,1.00001,1.00012,136,133,0.11034,-0.17679
275,0.99993,1.00005,141,134,-0.01428,0.07315
276,0.99992,0.99997,138,136,-0.11638,-0.03160
277,1.00000,0.99997,137,135,0.04407,-0.00213
278,1.00000,0.99997,139,137,-0.00833,-0.00495
279,1.00000,0.99997,139,138,-0.00452,-0.01048
280,1.00000,0.99997,138,137,-0.03833,0.01694
281,1.00002,0.99999,139,134,-0.05070,0.01828
282,1.00000,0.99999,139,137,-0.01260,0.01673
283,1.00000,0.99999,138,138,-0.01721,0.00125
284,1.00000,0.99999,138,138,-0.00320,0.01613
285,1.00000,0.99999,139,137,-0.00089,0.01117
286,1.00000,0.99999,140,139,-0.01075,-0.00073
287,1.00000,0.99999,139,139,-0.00120,-0.00652
288,1.00000,0.99999,138,138,-0.00485,0.00682
289,1.00000,0.99999,138,138,-0.00036,0.01235
290,0.99996,0.99996,139,134,0.09939,-0.09763
291,1.00000,0.99996,138,137,0.00463,-0.00401
292,1.00000,0.99996,138,138,-0.00070,0.00211
293,1.00000,0.99996,139,138,0.00085,-0.00248
294,1.00000,0.99996,138,138,-0.00131,0.00029
295,1.00000,0.99996,139,138,0.00115,-0.00013
296,1.00000,0.99996,140,135,-0.03275,0.00799
297,1.00000,0.99996,140,140,-0.00928,-0.00534
298,1.00000,0.99996,141,140,-0.00124,0.00381
299,1.00000,0.99996,140,140,-0.00846,0.00413
300,1.00000,0.99996,140,140,0.00158,0.00649
301,0.99999,0.99995,137,134,-0.08182,0.09155
302,1.00000,0.99995,137,137,0.00427,0.00433
303,1.00000,0.99995,137,137,0.01060,0.00495
304,1.00000,0.99995,137,137,-0.01006,0.01335
305,1.00000,0.99995,137,137,-0.00269,0.00780
306,1.00000,0.99995,137,137,-0.01276,-0.01474
307,1.00000,0.99995,137,137,-0.01149,-0.00388
308,1.00000,0.99995,139,137,-0.00523,-0.00365
309,1.00000,0.99995,138,138,-0.05573,0.03783
310,1.00000,0.99995,137,137,-0.00360,0.00061
311,1.00000,0.99995,138,137,-0.00162,-0.01785
312,1.00000,0.99995,139,138,0.00216,0.00679
313,1.00000,0.99995,140,138,0.00513,0.01676
314,1.00008,1.00003,137,135,-0.01993,0.04230
315,1.00039,1.00042,133,130,-0.03644,-0.12545
316,1.00156,1.00197,137,128,0.11927,0.08646
317,1.00165,1.00362,137,130,0.05815,-0.01302
318,1.00203,1.00566,130,127,0.06036,-0.11295
319,1.00271,1.00839,132,124,0.08926,0.02746
320,1.00326,1.01167,129,120,-0.01667,-0.04865
321,1.00378,1.01549,126,121,0.15835,-0.15835
322,1.00465,1.02021,132,125,0.20863,0.05045
323,1.00538,1.02570,127,122,0.13877,0.02559
324,1.00604,1.03190,126,119,0.38943,-0.02267
325,1.00692,1.03904,125,117,0.19156,0.01566
326,1.00751,1.04684,126,117,0.43639,-0.03035
327,1.00862,1.05587,129,116,0.54831,-0.22126
328,1.00951,1.06592,122,114,0.41915,-0.09380
329,1.01080,1.07743,124,110,0.55109,0.12640
330,1.01218,1.09055,120,112,0.48125,0.04049
331,1.01314,1.10488,122,111,0.53199,0.07601
332,1.01477,1.12121,121,111,0.49621,0.14279
333,1.01607,1.13923,117,109,0.61669,0.10863
334,1.01800,1.15973,114,103,0.37984,-0.26366
335,1.01852,1.18120,107,99,0.41849,-0.58157
336,1.02041,1.20531,114,101,0.71172,-0.80216
337,1.02139,1.23109,106,96,0.38465,-1.26363
338,1.02333,1.25982,102,91,0.03588,-1.64209
339,1.02492,1.29121,101,92,0.03210,-1.58665
340,1.02707,1.32616,98,86,0.66293,-1.60222
341,1.02781,1.36304,91,76,0.87564,-1.86915
342,1.03078,1.40500,96,75,1.35793,-1.43185
343,1.03159,1.44938,94,78,0.83411,0.65761
344,1.03426,1.49904,97,76,0.56970,0.16785
345,1.03588,1.55283,95,80,0.19181,0.38028
346,1.03840,1.61245,94,76,-0.01171,0.90589
347,1.03929,1.67580,92,74,-0.03845,1.08969
348,1.04056,1.74377,89,71,0.66986,0.99893
349,1.04257,1.81800,89,71,0.75459,1.39235
350,1.04425,1.89846,83,69,0.79609,1.13908
351,1.04469,1.98330,76,68,0.70122,1.20588
352,1.04488,2.07231,73,63,0.48639,1.11146
353,1.04487,2.16530,66,60,0.43563,0.71287
354,1.04449,2.26164,60,57,0.96224,0.33040
355,1.04290,2.35866,59,53,0.89742,-0.35880
356,1.04300,2.46008,55,50,1.48064,-0.57724
357,1.04191,2.56318,53,49,1.08400,0.71221
358,1.03986,2.66536,49,45,1.87214,-0.20635
359,1.04060,2.77358,47,41,0.90930,-0.13131
360,1.03888,2.88143,42,40,1.47688,0.84250
361,1.03844,2.99218,40,35,1.05587,0.60105
362,1.03584,3.09942,39,35,0.89665,1.00901
363,1.03422,3.20549,38,32,0.90400,2.62273
364,1.03697,3.32399,33,28,1.27044,3.20348
365,1.03524,3.44113,29,27,0.57835,3.89586
366,1.03050,3.54609,25,21,2.22936,4.05985
367,1.02832,3.64650,22,19,1.90054,4.04857
368,1.02531,3.73879,22,17,2.11355,1.65310
369,1.02647,3.83775,17,15,0.68478,4.71084
370,1.02505,3.93388,13,13,1.01901,3.75266
371,1.01882,4.00793,11,10,1.89956,1.82535
372,1.01875,4.08309,11,10,1.35243,3.52543
373,1.01832,4.15791,14,11,1.06099,4.15913
374,1.01346,4.21386,12,11,-1.23433,4.98331
375,1.01303,4.26879,14,10,1.48016,5.00998
376,1.01443,4.33041,12,11,1.60887,6.33076
377,1.00679,4.35982,12,11,-0.02893,4.30224
378,1.01289,4.41601,12,9,0.96880,6.41862
379,1.02607,4.53115,10,8,-0.55051,8.17646
380,1.01635,4.60526,10,8,-1.08762,8.19954
381,1.01248,4.66273,10,10,-1.49523,7.69339
382,1.00524,4.68717,9,7,-1.36445,7.78087
383,1.00659,4.71805,12,8,-2.36897,8.56904
384,1.00522,4.74270,13,11,-1.01781,5.28298
385,1.00264,4.75523,13,11,-2.06142,4.94638
386,1.00558,4.78179,14,12,-2.08866,5.02552
387,1.00822,4.82111,13,11,-2.58739,5.41167
388,1.00718,4.85570,9,9,-1.52494,5.85428
389,1.00686,4.88899,11,9,-0.79349,5.27101
390,1.00440,4.91052,10,10,-1.24182,5.24107
391,1.00574,4.93873,10,9,-0.35628,5.60249
392,1.00411,4.95900,9,8,0.28821,6.57216
393,1.00557,4.98664,9,6,0.50248,5.76066
394,1.00419,5.00753,7,7,-1.21063,6.60155
395,1.00522,5.03369,10,7,0.79996,5.79021
396,1.00774,5.07266,12,10,2.94048,4.32119
397,1.00499,5.09798,13,12,1.53471,4.89958
398,1.00586,5.12785,12,11,1.43677,4.74032
399,1.00520,5.15454,13,11,1.44112,4.58133
400,1.00593,5.18513,13,12,1.67838,4.38840
401,1.00171,5.19400,14,13,1.79066,5.03083
402,1.00325,5.21087,13,12,1.71902,3.99417
403,1.00302,5.22663,13,11,2.08225,4.21747
404,1.00374,5.24615,15,12,2.48255,3.91447
405,1.00413,5.26779,11,11,1.48333,3.16446
406,1.00413,5.28952,13,11,1.64025,3.54569
407,1.00413,5.31136,11,10,1.75770,3.16644
408,1.00388,5.33195,10,10,1.90306,3.18204
409,1.00341,5.35013,10,10,1.81316,3.35917
