frame,t_s,pair,sep_px,sep_norm,mid_y
705,11.7333,7-8,247.6,0.7260,987
706,11.7500,7-8,249.6,0.7318,996
707,11.7667,7-8,251.2,0.7365,1005
708,11.7833,7-8,252.1,0.7393,1014
709,11.8000,7-8,252.9,0.7414,1024
710,11.8167,7-8,253.8,0.7442,1033
711,11.8333,7-8,255.2,0.7484,1043
712,11.8500,7-8,256.9,0.7533,1052
713,11.8667,7-8,258.2,0.7570,1062
714,11.8833,7-8,258.7,0.7584,1072
715,11.9000,7-8,258.7,0.7585,1082
716,11.9167,7-8,259.1,0.7596,1092
717,11.9333,7-8,260.4,0.7634,1104
718,11.9500,7-8,260.5,0.7639,1113
719,11.9667,7-8,259.8,0.7617,1124
720,11.9833,7-8,260.4,0.7636,1136
721,12.0000,7-8,258.8,0.7587,1148
722,12.0167,7-8,257.1,0.7539,1159
723,12.0333,7-8,254.3,0.7457,1172
724,12.0500,7-8,249.4,0.7314,1186
725,12.0667,7-8,243.7,0.7147,1199
726,12.0833,7-8,239.6,0.7026,1213
727,12.1000,7-8,236.5,0.6933,1226
728,12.1167,7-8,237.9,0.6975,1236
729,12.1333,7-8,241.8,0.7089,1244
730,12.1500,7-8,249.3,0.7308,1249
731,12.1667,7-8,257.6,0.7553,1251
732,12.1833,7-8,266.3,0.7807,1254
733,12.2000,7-8,274.1,0.8037,1256
734,12.2167,7-8,278.8,0.8173,1258
735,12.2333,7-8,282.2,0.8275,1260
736,12.2500,7-8,284.2,0.8333,1264
737,12.2667,7-8,286.7,0.8407,1265
738,12.2833,7-8,288.0,0.8445,1267
739,12.3000,7-8,290.1,0.8507,1267
740,12.3167,7-8,292.6,0.8578,1267
741,12.3333,7-8,295.2,0.8654,1267
742,12.3500,7-8,299.4,0.8778,1264
743,12.3667,7-8,305.4,0.8954,1266
744,12.3833,7-8,307.7,0.9021,1264
745,12.4000,7-8,314.0,0.9207,1268
746,12.4167,7-8,322.6,0.9460,1273
747,12.4333,7-8,334.1,0.9796,1283
748,12.4500,7-8,347.9,1.0202,1295
749,12.4667,7-8,364.5,1.0688,1309
750,12.4833,7-8,365.3,1.0712,1308
751,12.5000,7-8,386.1,1.1320,1326
752,12.5167,7-8,409.8,1.2015,1346
753,12.5333,7-8,430.3,1.2617,1363
732,12.1833,7-11,227.7,1.1901,1120
733,12.2000,7-11,217.7,1.1380,1125
734,12.2167,7-11,211.3,1.1045,1129
735,12.2333,7-11,205.9,1.0764,1132
736,12.2500,7-11,207.1,1.0826,1135
737,12.2667,7-11,205.9,1.0763,1137
738,12.2833,7-11,206.6,1.0801,1138
739,12.3000,7-11,206.9,1.0813,1139
740,12.3167,7-11,205.9,1.0764,1138
741,12.3333,7-11,206.2,1.0777,1138
742,12.3500,7-11,203.7,1.0647,1137
743,12.3667,7-11,203.6,1.0642,1136
744,12.3833,7-11,203.8,1.0652,1135
745,12.4000,7-11,203.6,1.0641,1133
746,12.4167,7-11,202.5,1.0584,1131
747,12.4333,7-11,203.2,1.0623,1130
748,12.4500,7-11,202.8,1.0603,1129
749,12.4667,7-11,202.1,1.0566,1129
750,12.4833,7-11,201.4,1.0526,1128
751,12.5000,7-11,201.5,1.0533,1128
752,12.5167,7-11,201.9,1.0553,1129
753,12.5333,7-11,202.6,1.0590,1130
754,12.5500,7-11,200.2,1.0465,1132
755,12.5667,7-11,200.6,1.0487,1134
756,12.5833,7-11,198.4,1.0371,1136
757,12.6000,7-11,192.2,1.0045,1137
758,12.6167,7-11,187.9,0.9822,1138
759,12.6333,7-11,167.9,0.8778,1133
760,12.6500,7-11,186.6,0.9755,1146
761,12.6667,7-11,184.3,0.9635,1150
762,12.6833,7-11,179.3,0.9375,1153
763,12.7000,7-11,176.4,0.9219,1156
764,12.7167,7-11,172.0,0.8991,1160
765,12.7333,7-11,169.6,0.8867,1164
766,12.7500,7-11,164.9,0.8618,1168
767,12.7667,7-11,193.0,1.0089,1188
768,12.7833,7-11,195.7,1.0231,1196
769,12.8000,7-11,198.9,1.0397,1204
770,12.8167,7-11,199.3,1.0418,1213
771,12.8333,7-11,197.8,1.0341,1226
