frame,blob_id,cx,cy,w,h,area
700,0,1284.8,970.3,104,152,4032
700,1,1063.9,951.8,112,120,6432
700,2,1047.7,1150.8,140,184,7936
700,3,728.9,1353.9,112,124,7280
700,4,753.5,1465.4,68,84,2016
701,0,1285.5,969.0,108,168,4960
701,1,1055.7,959.9,108,120,6432
701,2,1039.7,1158.7,140,184,8016
701,3,714.7,1403.6,108,120,6912
702,0,1284.7,968.3,116,168,5648
702,1,1047.6,968.2,108,120,6560
702,2,1031.9,1166.8,144,184,8096
702,3,706.4,1412.9,108,120,7024
703,0,1299.3,758.8,56,108,2512
703,1,1281.2,971.9,124,172,6320
703,2,1039.6,976.2,108,120,6624
703,3,1024.7,1175.3,140,184,8048
703,4,692.4,1458.0,108,92,5600
704,0,1297.7,770.9,64,112,3168
704,1,1277.6,975.5,128,176,6704
704,2,1032.4,985.2,112,124,6752
704,3,1017.9,1183.8,144,188,8240
705,0,1295.3,780.0,68,112,3648
705,1,1273.6,981.2,136,180,6832
705,2,1026.3,993.6,112,124,6704
705,3,1011.4,1194.5,140,188,8256
706,0,1293.4,789.1,72,112,4016
706,1,1269.5,988.9,140,184,6880
706,2,1020.3,1002.6,112,124,6784
706,3,1006.6,1201.5,140,188,8432
707,0,1291.5,797.8,76,112,4304
707,1,1266.2,997.0,144,184,6944
707,2,1015.5,1012.8,112,124,6848
707,3,1002.4,1211.7,144,188,8224
708,0,1289.8,806.5,76,112,4544
708,1,1263.0,1006.6,144,184,6896
708,2,1011.3,1021.6,116,124,6832
708,3,997.0,1221.9,144,188,8512
709,0,1288.5,814.6,80,112,4784
709,1,1260.5,1015.2,148,180,6864
709,2,1008.2,1032.3,116,124,6944
709,3,994.7,1226.5,144,188,7856
710,0,1287.8,823.3,80,112,4832
710,1,1259.1,1024.3,148,188,6976
710,2,1005.9,1041.8,112,124,6880
710,3,993.6,1228.9,148,184,6736
711,0,1287.2,831.3,80,112,4912
711,1,1258.9,1034.3,148,184,6880
711,2,1004.3,1052.3,112,120,6912
711,3,1008.5,1214.4,64,140,4464
712,0,1287.3,839.6,80,116,4832
712,1,1259.3,1041.8,148,184,6976
712,2,1003.2,1062.4,116,124,7168
712,3,1008.0,1217.7,64,132,3792
713,0,1288.2,850.8,80,112,4912
713,1,1260.1,1050.8,148,184,6960
713,2,1002.9,1073.4,116,124,7152
713,3,1008.0,1219.9,64,120,3200
714,0,1288.7,859.3,80,116,4944
714,1,1260.6,1061.1,148,188,7152
714,2,1002.9,1083.5,116,124,7280
714,3,1008.3,1224.6,64,112,2800
715,0,1289.8,867.5,76,116,4736
715,1,1262.2,1069.5,148,184,7264
715,2,1004.8,1095.2,112,128,7280
715,3,1009.6,1231.2,64,100,2480
716,0,1290.8,875.7,76,116,4624
716,1,1263.9,1079.2,144,188,7328
716,2,1006.2,1105.8,116,124,7296
716,3,1012.4,1236.3,72,88,2096
717,0,1292.4,885.4,72,112,4272
717,1,1267.4,1089.8,140,184,7376
717,2,1008.5,1117.3,116,128,7424
718,0,1293.7,893.1,68,116,3952
718,1,1270.2,1099.4,140,180,7168
718,2,1011.2,1127.5,116,128,7472
719,0,1295.7,901.6,64,120,3744
719,1,1272.6,1110.6,136,180,7248
719,2,1014.3,1138.4,116,124,7328
720,0,1296.7,909.9,60,112,3216
720,1,1276.4,1121.0,132,172,7104
720,2,1017.6,1150.0,120,128,7456
721,0,1298.6,917.6,56,112,2912
721,1,1278.8,1133.6,128,172,6928
721,2,1021.6,1162.0,120,128,7504
722,0,1299.6,923.8,52,108,2496
722,1,1281.6,1145.7,124,172,6448
722,2,1025.9,1172.9,120,132,7760
723,0,1301.1,931.2,48,84,2000
723,1,1283.2,1158.5,120,172,5808
723,2,1030.2,1184.6,120,132,7920
724,0,1283.0,1174.8,116,172,5184
724,1,1034.5,1196.5,120,132,7872
725,0,1282.0,1190.6,112,156,4560
725,1,1038.9,1208.3,120,132,7952
726,0,1281.5,1206.2,104,136,4064
726,1,1042.3,1220.4,120,132,8016
726,2,985.2,1465.4,92,64,2432
727,0,1280.1,1220.5,104,140,3680
727,1,1043.9,1231.6,120,136,8160
727,2,1018.0,1436.3,144,188,5760
728,0,1280.5,1230.1,104,124,3712
728,1,1042.9,1241.8,124,132,8304
728,2,1025.9,1450.3,148,188,7280
729,0,1280.4,1235.6,108,140,3952
729,1,1039.2,1252.4,124,136,8320
729,2,1023.3,1458.2,148,188,7744
730,0,1281.4,1237.3,112,156,4624
730,1,1033.2,1260.2,120,136,8256
730,2,1018.3,1466.3,148,180,7952
731,0,1281.1,1235.7,116,164,5296
731,1,1025.4,1267.0,120,136,8432
731,2,1011.9,1472.0,148,188,7888
732,0,1299.7,1007.1,52,100,2464
732,1,1279.8,1233.9,124,172,6496
732,2,1016.5,1273.5,120,132,8432
732,3,1003.6,1478.0,148,188,8064
733,0,1296.7,1016.8,64,120,3488
733,1,1275.7,1233.5,132,172,7296
733,2,1005.3,1278.4,120,132,8368
733,3,993.6,1482.1,152,192,8240
734,0,1292.1,1023.8,72,120,4432
734,1,1267.9,1233.7,140,184,7648
734,2,993.5,1282.8,120,132,8416
734,3,983.1,1487.4,148,188,8032
735,0,1286.7,1030.5,84,124,5616
735,1,1258.6,1234.5,152,188,7648
735,2,981.2,1286.5,120,136,8464
735,3,971.5,1489.7,148,188,8176
736,0,1279.2,1032.7,96,124,6448
736,1,1247.0,1237.3,156,188,7696
736,2,967.7,1289.8,124,132,8544
736,3,960.2,1493.1,144,188,8080
737,0,1269.2,1035.4,108,124,6768
737,1,1235.3,1238.5,160,188,7712
737,2,953.4,1291.0,120,136,8544
737,3,948.1,1493.7,152,192,8224
738,0,1255.9,1036.0,112,124,6672
738,1,1222.4,1239.9,156,192,7888
738,2,939.4,1293.5,124,132,8560
738,3,938.2,1492.8,148,188,7824
739,0,1241.5,1036.6,116,124,6816
739,1,1209.7,1241.0,152,188,7936
739,2,924.4,1293.7,120,132,8496
739,3,926.6,1492.4,140,192,7504
740,0,1227.7,1036.6,116,124,6800
740,1,1196.8,1240.2,156,188,7952
740,2,909.2,1293.8,120,132,8512
740,3,915.1,1493.1,132,184,6944
741,0,1213.8,1036.2,116,124,6752
741,1,1183.9,1240.2,152,188,8032
741,2,893.6,1293.5,120,136,8560
741,3,903.3,1490.2,120,188,6368
742,0,1199.3,1036.0,116,124,6816
742,1,1170.9,1237.7,152,188,7968
742,2,876.3,1291.0,120,136,8640
742,3,890.9,1477.5,108,192,5664
743,0,1184.7,1035.4,112,120,6848
743,1,1157.8,1237.2,148,184,7840
743,2,857.8,1294.3,120,132,8576
743,3,872.0,1451.5,72,176,3904
744,0,1169.0,1033.5,112,124,6784
