frame,t_s,n_pairs,median_spacing_px,pairs
700,11.6500,2,156.95,199.7@y1051 114.2@y1410
701,11.6667,1,199.4,199.4@y1059
702,11.6833,1,199.2,199.2@y1068
703,11.7000,2,206.8,213.9@y865 199.7@y1076
704,11.7167,2,202.35,205.6@y873 199.1@y1084
705,11.7333,2,201.95,202.4@y881 201.5@y1094
706,11.7500,2,200.3,201.2@y889 199.4@y1102
707,11.7667,2,200.05,200.8@y897 199.3@y1112
708,11.7833,2,201.35000000000002,201.9@y907 200.8@y1122
709,11.8000,2,198.6,202.5@y915 194.7@y1129
710,11.8167,2,195.25,203.0@y924 187.5@y1135
711,11.8333,2,183.6,205.0@y933 162.2@y1133
712,11.8500,2,179.75,204.1@y941 155.4@y1140
713,11.8667,2,174.3,202.0@y951 146.6@y1147
714,11.8833,2,172.45,203.7@y960 141.2@y1154
715,11.9000,2,170.0,203.9@y968 136.1@y1163
716,11.9167,2,167.95,205.3@y977 130.6@y1171
717,11.9333,1,205.9,205.9@y988
718,11.9500,1,207.6,207.6@y996
719,11.9667,1,210.3,210.3@y1006
720,11.9833,1,212.1,212.1@y1015
721,12.0000,1,216.9,216.9@y1026
722,12.0167,1,222.6,222.6@y1035
723,12.0333,1,228.0,228.0@y1045
724,12.0500,1,249.4,249.4@y1186
725,12.0667,1,243.7,243.7@y1199
726,12.0833,1,239.6,239.6@y1213
727,12.1000,1,206.3,206.3@y1334
728,12.1167,1,209.2,209.2@y1346
729,12.1333,1,206.4,206.4@y1355
730,12.1500,1,206.6,206.6@y1363
731,12.1667,1,205.4,205.4@y1370
732,12.1833,2,216.3,227.7@y1120 204.9@y1376
733,12.2000,2,210.85,217.7@y1125 204.0@y1380
734,12.2167,2,208.10000000000002,211.3@y1129 204.9@y1385
735,12.2333,2,204.65,205.9@y1132 203.4@y1388
736,12.2500,2,205.25,207.1@y1135 203.4@y1391
737,12.2667,2,204.35000000000002,205.9@y1137 202.8@y1392
738,12.2833,2,202.95,206.6@y1138 199.3@y1393
739,12.3000,2,202.8,206.9@y1139 198.7@y1393
740,12.3167,2,202.65,205.9@y1138 199.4@y1393
741,12.3333,2,201.55,206.2@y1138 196.9@y1392
742,12.3500,2,195.39999999999998,203.7@y1137 187.1@y1384
743,12.3667,2,180.7,203.6@y1136 157.8@y1373
744,12.3833,2,178.0,203.8@y1135 152.2@y1369
745,12.4000,2,187.7,203.6@y1133 171.8@y1387
746,12.4167,2,179.75,202.5@y1131 157.0@y1393
747,12.4333,2,177.8,203.2@y1130 152.4@y1410
748,12.4500,2,161.05,181.4@y1051 140.7@y1429
749,12.4667,2,159.65,191.8@y1049 127.5@y1452
750,12.4833,2,164.4,201.4@y1128 127.4@y1451
751,12.5000,1,201.5,201.5@y1128
752,12.5167,2,203.10000000000002,204.3@y931 201.9@y1129
753,12.5333,2,202.39999999999998,202.2@y932 202.6@y1130
754,12.5500,2,200.7,201.2@y935 200.2@y1132
755,12.5667,2,201.2,201.8@y937 200.6@y1134
756,12.5833,2,199.25,200.1@y939 198.4@y1136
757,12.6000,2,197.1,202.0@y942 192.2@y1137
758,12.6167,2,194.2,200.5@y945 187.9@y1138
759,12.6333,2,184.35000000000002,200.8@y948 167.9@y1133
760,12.6500,2,193.85,201.1@y952 186.6@y1146
761,12.6667,2,192.55,200.8@y957 184.3@y1150
762,12.6833,2,189.3,199.3@y960 179.3@y1153
763,12.7000,2,188.5,200.6@y966 176.4@y1156
764,12.7167,2,186.45,200.9@y971 172.0@y1160
765,12.7333,2,184.45,199.3@y976 169.6@y1164
766,12.7500,2,150.45,199.6@y981 101.3@y1290
767,12.7667,2,196.9,200.8@y987 193.0@y1188
768,12.7833,2,198.3,200.9@y992 195.7@y1196
769,12.8000,2,199.4,199.9@y997 198.9@y1204
770,12.8167,2,199.9,200.5@y1003 199.3@y1213
