frame,t,diameter_px,centre_x,centre_y,run_px,run_x0,run_x1,vext_px,bbox_x0,bbox_y0,bbox_x1,bbox_y1,rim_cx,rim_cy,rim_w,rim_h,flag
381,6.3876,288,689.5,1398,288,546,833,183,546,1307,833,1489,691.8,1371.3,257.8,331.8,
382,6.4044,289,689.0,1400,289,545,833,183,545,1307,833,1490,691.9,1371.9,259.8,334.3,
383,6.4212,292,689.5,1398,292,544,835,185,544,1307,835,1491,691.8,1372.2,261.3,336.0,
384,6.4381,293,689.0,1401,293,543,835,185,543,1306,835,1491,691.7,1372.3,262.2,337.1,
385,6.4549,294,688.5,1400,294,542,835,186,542,1306,835,1491,690.7,1372.1,262.5,337.8,
386,6.4717,294,686.5,1400,294,540,833,186,540,1306,833,1491,688.9,1371.6,262.3,337.4,
387,6.4885,294,682.5,1398,294,536,829,184,536,1304,829,1489,685.1,1370.9,262.0,337.5,
388,6.5053,292,677.5,1395,292,532,823,186,532,1304,824,1489,680.4,1370.3,261.9,337.2,
389,6.5221,293,674.0,1401,293,528,820,186,528,1304,820,1489,676.1,1369.8,261.8,337.0,
390,6.5389,292,669.5,1396,292,524,815,186,524,1304,815,1489,671.6,1369.7,261.7,337.0,
391,6.5557,292,665.5,1397,292,520,811,186,520,1304,811,1489,666.6,1368.9,263.2,337.6,
392,6.5725,291,661.0,1400,291,516,806,186,515,1304,806,1489,662.2,1368.7,263.3,337.9,
393,6.5893,293,656.0,1399,291,512,802,185,510,1304,802,1489,657.4,1368.7,263.8,337.6,
394,6.6062,293,652.0,1399,293,506,798,185,506,1304,798,1489,652.9,1368.7,264.4,337.8,
395,6.623,293,649.0,1398,293,503,795,186,502,1304,795,1489,649.5,1369.0,264.8,337.2,
396,6.6398,292,645.5,1398,292,500,791,187,500,1304,791,1490,646.0,1369.5,264.5,337.7,
397,6.6566,292,642.5,1401,292,497,788,186,496,1304,788,1490,643.2,1369.8,264.9,337.7,
398,6.6734,292,639.5,1398,292,494,785,188,494,1304,785,1491,639.3,1368.0,278.4,358.7,
399,6.6902,292,637.5,1399,292,492,783,186,492,1304,783,1491,637.0,1368.4,278.4,358.7,
400,6.707,292,635.5,1400,292,490,781,186,490,1306,781,1491,635.1,1368.7,278.5,358.6,
401,6.7238,294,634.5,1400,294,488,781,186,488,1306,781,1491,633.6,1369.0,278.5,358.7,
402,6.7406,293,633.0,1404,293,487,779,186,487,1306,779,1491,632.3,1369.2,278.5,358.8,
403,6.7574,293,632.0,1403,293,486,778,186,486,1306,778,1491,631.3,1369.3,278.6,358.9,
404,6.7742,292,631.5,1398,292,486,777,185,485,1306,777,1491,630.4,1369.5,278.6,358.8,
405,6.7911,294,630.5,1402,294,484,777,184,484,1306,777,1491,629.7,1369.6,278.6,358.7,
406,6.8079,293,630.0,1403,293,484,776,186,483,1306,776,1493,629.1,1369.7,278.6,358.8,
407,6.8247,293,629.0,1404,293,483,775,186,483,1306,775,1493,628.6,1369.8,278.6,359.0,
408,6.8415,292,629.5,1399,292,484,775,186,483,1306,775,1493,628.2,1369.9,278.6,358.9,
409,6.8583,293,629.0,1404,293,483,775,186,482,1306,775,1493,628.0,1369.9,278.6,358.9,
410,6.8751,293,629.0,1402,293,483,775,186,482,1306,775,1493,627.7,1369.9,278.7,358.8,
411,6.8919,293,628.0,1404,293,482,774,186,482,1306,775,1493,627.5,1370.0,278.7,359.0,
412,6.9087,294,628.5,1402,294,482,775,186,482,1306,775,1493,627.3,1370.0,278.7,359.0,
413,6.9255,294,628.5,1402,294,482,775,186,482,1306,775,1493,627.2,1370.0,278.7,358.9,
414,6.9423,293,628.0,1402,293,482,774,186,482,1306,775,1493,627.1,1370.0,278.7,358.9,
