frame,t_s,diameter_px,centre_x,centre_y,span_row,span,height,area,rim_l,rim_r,rim_outer,occl,ncomp,widest_y
346,5.7500,61,682.5,1385.5,70,76,50,1467,0,0,70,1,1,1374
347,5.7667,80,681.0,1383.0,83,84,51,1933,0,0,83,0,1,1381
348,5.7833,87,681.5,1378.5,88,88,48,2693,0,0,88,0,1,1381
349,5.8000,93,681.0,1380.0,93,93,55,3620,0,0,93,0,1,1379
350,5.8167,98,680.5,1379.0,98,98,59,4247,0,0,98,0,1,1378
351,5.8333,103,680.0,1380.5,103,103,64,4827,0,0,103,0,1,1378
352,5.8500,108,679.5,1380.5,108,108,66,5312,0,0,108,0,1,1381
353,5.8667,110,678.5,1379.0,110,110,71,5857,0,0,110,0,1,1381
354,5.8833,115,677.0,1378.5,115,115,74,6488,0,0,115,0,1,1379
355,5.9000,121,676.0,1378.0,121,122,77,7137,0,0,121,0,1,1378
356,5.9167,126,675.5,1377.0,126,127,81,7894,0,0,126,0,1,1377
357,5.9333,134,677.5,1376.5,134,135,86,8629,0,0,134,0,1,1372
358,5.9500,145,677.0,1377.0,145,145,89,9520,0,0,145,0,1,1377
359,5.9667,150,676.5,1377.0,150,150,93,10464,0,0,150,0,1,1376
360,5.9833,157,676.0,1376.5,157,157,98,11485,0,0,157,0,1,1376
361,6.0000,163,675.5,1376.0,164,164,103,12504,0,0,164,0,1,1376
362,6.0167,171,676.0,1377.0,171,171,107,13660,0,0,171,0,1,1375
363,6.0333,178,676.5,1377.0,178,178,113,14862,0,0,178,0,1,1376
364,6.0500,185,677.0,1378.0,185,185,117,16188,0,0,185,0,1,1378
365,6.0667,193,678.0,1378.0,193,193,121,17545,0,0,193,0,1,1377
366,6.0833,200,679.5,1379.0,200,200,127,19011,0,0,200,0,1,1379
367,6.1000,209,680.0,1380.0,209,209,131,20455,0,0,209,0,1,1383
368,6.1167,217,681.0,1381.0,217,217,137,21925,0,0,217,0,1,1383
369,6.1333,223,682.5,1382.0,224,224,141,23472,0,0,224,0,1,1386
370,6.1500,231,684.0,1383.5,231,231,144,24998,0,0,231,0,1,1389
371,6.1667,237,685.0,1385.5,237,237,150,26528,0,0,237,0,1,1386
372,6.1833,243,686.0,1386.5,243,243,154,28079,0,0,243,0,1,1388
373,6.2000,250,686.5,1388.5,250,250,158,29540,0,0,250,0,1,1391
374,6.2167,256,687.5,1389.5,256,256,162,30992,0,0,256,0,1,1393
375,6.2333,261,688.0,1390.0,261,262,165,32515,0,0,261,0,1,1390
376,6.2500,267,689.0,1392.0,267,267,169,33772,0,0,267,0,1,1395
