frame,t_s,diameter_px,centre_x,centre_y,run_ctr,span,height,comp_area,seed_ok
340,5.6500,386,192.5,311.5,166,630,624,105457,1
341,5.6667,16,299.5,320.0,7,36,23,218,0
342,5.6833,17,290.0,301.5,9,64,34,379,0
343,5.7000,359,179.0,318.5,142,625,638,127765,0
344,5.7167,349,174.0,309.5,69,625,620,131980,0
345,5.7333,1,328.0,306.5,1,1,6,6,0
346,5.7500,324,161.5,290.5,91,624,582,123876,0
347,5.7667,311,155.0,290.0,84,620,581,110857,0
348,5.7833,1,312.0,290.5,1,1,2,2,0
349,5.8000,307,453.0,267.0,303,505,535,90851,1
350,5.8167,319,445.0,272.0,188,336,467,85120,0
351,5.8333,319,440.0,238.5,196,349,478,91614,1
352,5.8500,338,429.5,224.0,199,358,449,94893,1
353,5.8667,351,419.0,209.0,205,363,419,97339,1
354,5.8833,343,419.0,193.5,207,363,388,94232,1
355,5.9000,327,424.0,177.5,211,375,356,86873,1
356,5.9167,364,400.5,161.0,144,386,323,77445,1
357,5.9333,345,408.0,145.5,155,399,292,68568,1
358,5.9500,353,400.0,130.0,225,412,261,59109,1
359,5.9667,364,389.5,114.5,100,410,230,47679,1
360,5.9833,242,447.5,98.5,139,244,198,31387,0
361,6.0000,246,442.5,83.5,116,251,168,24473,1
362,6.0167,159,400.0,69.0,146,240,139,14168,1
363,6.0333,3,425.0,74.0,1,6,9,14,0
364,6.0500,2,426.5,58.0,2,2,1,2,0
365,6.0667,1,441.0,42.0,1,1,1,1,0
366,6.0833,1,462.0,29.0,1,1,1,1,0
367,6.1000,1,488.0,26.0,1,1,1,1,0
368,6.1167,1,488.0,23.0,1,1,1,1,0
369,6.1333,2,526.5,0.0,2,2,1,2,0
370,6.1500,1,537.0,5.0,1,1,1,1,0
371,6.1667,0,537,5,0,0,0,0,0
372,6.1833,0,537,5,0,0,0,0,0
373,6.2000,0,537,5,0,0,0,0,0
374,6.2167,0,537,5,0,0,0,0,0
375,6.2333,0,537,5,0,0,0,0,0
376,6.2500,0,537,5,0,0,0,0,0
377,6.2667,0,537,5,0,0,0,0,0
378,6.2833,0,537,5,0,0,0,0,0
379,6.3000,0,537,5,0,0,0,0,0
380,6.3167,0,537,5,0,0,0,0,0
381,6.3333,0,537,5,0,0,0,0,0
382,6.3500,0,537,5,0,0,0,0,0
383,6.3667,0,537,5,0,0,0,0,0
384,6.3833,0,537,5,0,0,0,0,0
385,6.4000,0,537,5,0,0,0,0,0
386,6.4167,0,537,5,0,0,0,0,0
387,6.4333,0,537,5,0,0,0,0,0
388,6.4500,0,537,5,0,0,0,0,0
389,6.4667,0,537,5,0,0,0,0,0
390,6.4833,0,537,5,0,0,0,0,0
391,6.5000,0,537,5,0,0,0,0,0
392,6.5167,0,537,5,0,0,0,0,0
393,6.5333,0,537,5,0,0,0,0,0
394,6.5500,0,537,5,0,0,0,0,0
395,6.5667,0,537,5,0,0,0,0,0
396,6.5833,0,537,5,0,0,0,0,0
397,6.6000,0,537,5,0,0,0,0,0
398,6.6167,0,537,5,0,0,0,0,0
399,6.6333,0,537,5,0,0,0,0,0
400,6.6500,0,537,5,0,0,0,0,0
401,6.6667,0,537,5,0,0,0,0,0
402,6.6833,0,537,5,0,0,0,0,0
403,6.7000,0,537,5,0,0,0,0,0
404,6.7167,0,537,5,0,0,0,0,0
405,6.7333,0,537,5,0,0,0,0,0
406,6.7500,0,537,5,0,0,0,0,0
407,6.7667,0,537,5,0,0,0,0,0
408,6.7833,0,537,5,0,0,0,0,0
409,6.8000,0,537,5,0,0,0,0,0
410,6.8167,0,537,5,0,0,0,0,0
411,6.8333,0,537,5,0,0,0,0,0
412,6.8500,0,537,5,0,0,0,0,0
413,6.8667,0,537,5,0,0,0,0,0
414,6.8833,0,537,5,0,0,0,0,0
415,6.9000,0,537,5,0,0,0,0,0
416,6.9167,0,537,5,0,0,0,0,0
417,6.9333,0,537,5,0,0,0,0,0
418,6.9500,0,537,5,0,0,0,0,0
419,6.9667,0,537,5,0,0,0,0,0
420,6.9833,0,537,5,0,0,0,0,0
421,7.0000,0,537,5,0,0,0,0,0
422,7.0167,0,537,5,0,0,0,0,0
423,7.0333,2,577.5,0.0,2,2,1,2,0
424,7.0500,1,578.0,0.0,1,1,1,1,1
425,7.0667,1,566.0,6.0,1,1,1,1,0
426,7.0833,1,563.0,6.0,1,1,1,1,0
427,7.1000,1,561.0,8.0,1,1,1,1,0
428,7.1167,1,561.0,11.0,1,1,1,1,0
429,7.1333,1,555.0,11.0,1,1,1,1,0
430,7.1500,1,552.0,12.0,1,1,1,1,0
431,7.1667,1,554.0,16.0,1,1,1,1,0
432,7.1833,2,542.5,13.5,2,3,4,5,0
433,7.2000,1,549.0,20.0,1,1,1,1,0
434,7.2167,2,546.5,20.5,1,2,2,3,0
435,7.2333,1,543.0,24.0,1,1,1,1,0
436,7.2500,1,538.0,24.0,1,1,1,1,0
