frame,t_s,dxA,dyA,peakA,texA,dxC,dyC,peakC,texC,dxD,dyD,peakD,texD
346,5.7500,76.28,-66.02,27.4,17.08,33.42,-36.21,32.8,17.69,0.15,-9.93,73.3,12.81
347,5.7667,79.29,-68.48,27.7,17.15,34.62,-37.64,33.8,17.94,0.13,-8.58,70.4,12.29
348,5.7833,82.04,-70.53,24.5,17.09,36.63,-39.44,28.8,18.43,0.21,-7.58,90.4,11.79
349,5.8000,85.71,-73.82,28.9,16.93,99.78,-84.07,39.7,18.66,0.10,-5.85,129.7,11.47
350,5.8167,88.48,-75.75,26.8,16.55,40.25,-43.28,40.1,18.91,-0.04,-4.91,121.6,11.17
351,5.8333,92.04,-78.02,30.0,16.07,110.06,-91.85,41.5,18.98,0.03,-4.04,201.7,11.53
352,5.8500,95.86,-80.17,26.5,15.62,45.68,-47.76,54.5,18.45,0.10,-3.79,173.5,11.92
353,5.8667,-2.84,-16.04,29.2,15.13,48.44,-49.76,59.6,17.72,0.09,-3.47,150.4,12.42
354,5.8833,-3.22,-16.28,31.1,15.12,51.42,-52.05,48.0,16.87,0.05,-2.82,119.8,14.83
355,5.9000,-3.41,-16.40,36.7,15.11,54.65,-54.00,41.6,15.72,0.07,-2.34,111.8,16.05
356,5.9167,-3.70,-16.63,39.3,14.92,58.42,-57.18,34.1,15.68,0.02,-2.26,101.0,17.12
357,5.9333,-3.47,-16.42,41.7,14.69,62.48,-59.43,21.9,15.80,0.13,-1.87,80.5,18.93
358,5.9500,-3.36,-17.14,35.2,14.36,-88.17,-55.92,28.2,15.45,0.07,-1.67,67.0,19.07
359,5.9667,-3.81,-16.44,43.8,13.99,-92.07,-58.18,33.8,15.17,0.14,-1.40,59.1,19.77
360,5.9833,-3.36,-16.14,48.7,13.57,-19.73,4.05,34.8,15.68,-0.07,-0.82,51.3,19.44
361,6.0000,-2.95,-16.36,56.3,13.21,-19.27,4.50,32.6,15.60,0.05,-0.68,45.2,18.86
362,6.0167,-4.04,-15.82,58.9,12.57,-103.82,-65.95,39.1,15.18,0.13,-1.13,43.0,18.93
363,6.0333,-3.18,-15.66,59.9,11.99,-20.54,5.85,33.4,15.84,0.05,-0.87,41.4,18.70
364,6.0500,-5.06,-15.90,60.3,11.33,-21.47,6.52,37.2,16.61,0.15,-1.46,36.6,19.08
365,6.0667,-4.04,-14.23,53.1,10.70,-116.06,-74.60,25.3,16.71,0.37,-1.08,26.9,18.09
366,6.0833,-4.58,-14.07,58.2,9.97,-120.37,-77.99,28.0,16.31,-130.50,-82.14,32.5,17.39
367,6.1000,-4.73,-13.86,67.1,9.50,-19.37,12.11,31.5,16.27,-0.29,34.17,48.9,17.04
368,6.1167,-5.91,-10.44,73.9,9.10,-20.04,12.15,47.6,16.24,-1.08,35.86,48.2,15.90
369,6.1333,-6.17,-10.45,57.3,8.81,-20.04,12.47,56.8,15.92,-0.44,35.45,47.2,14.71
370,6.1500,-6.55,-8.49,58.3,8.40,-20.39,13.73,69.8,15.08,0.40,-0.70,42.1,14.50
371,6.1667,-7.03,-8.18,61.4,7.93,-20.25,13.85,76.9,15.01,0.22,-0.90,83.3,13.73
372,6.1833,-7.36,-6.68,54.3,7.63,-21.64,15.27,61.3,14.74,0.19,-0.29,151.3,11.80
373,6.2000,-7.01,-6.04,83.4,7.56,-21.35,15.27,68.4,14.23,0.08,-0.24,216.4,10.90
374,6.2167,-7.82,-4.74,54.0,7.54,-21.48,15.17,69.9,12.73,0.03,-0.10,260.3,11.03
375,6.2333,-7.49,-4.09,105.1,7.51,-20.54,15.90,81.1,11.26,0.04,-0.04,253.9,11.11
376,6.2500,-7.33,-2.70,62.6,7.50,-20.24,16.06,87.5,9.83,0.02,-0.02,256.9,11.59
377,6.2667,-7.42,-2.09,103.5,7.43,-19.90,15.94,105.1,8.75,-0.00,-0.01,268.7,12.14
378,6.2833,-6.17,-1.42,77.5,7.51,-19.53,15.73,62.7,8.00,0.00,-0.00,270.1,12.98
379,6.3000,-7.41,0.03,103.7,7.60,-0.00,-0.00,125.4,7.21,0.00,-0.01,261.7,13.52
380,6.3167,-6.73,0.75,66.4,7.75,0.00,-0.00,201.9,5.22,0.00,-0.00,252.6,13.94
381,6.3333,-6.31,2.05,143.0,7.94,-0.00,-0.00,212.8,2.73,-0.01,-0.01,233.6,14.09
382,6.3500,-7.20,3.66,82.6,8.15,0.00,0.00,219.9,0.98,0.01,-0.05,195.9,14.25
383,6.3667,-6.02,4.01,130.0,8.47,-0.00,0.00,240.4,0.76,0.18,-1.48,82.3,14.40
384,6.3833,-5.23,4.86,74.2,8.80,-0.00,0.01,138.5,0.63,0.30,-3.27,63.2,14.66
385,6.4000,-5.72,6.00,162.1,8.97,0.00,0.00,231.6,0.56,1.60,-5.59,69.3,14.94
386,6.4167,-4.26,6.35,138.1,9.09,-0.00,0.00,243.2,0.56,-5.99,14.01,112.9,14.90
387,6.4333,-4.10,6.43,122.1,9.22,-0.00,0.01,213.8,0.58,-5.49,14.13,70.2,14.73
388,6.4500,-2.31,6.38,122.8,9.28,0.00,0.00,203.5,0.60,0.15,-12.36,81.6,14.67
389,6.4667,-1.86,6.65,103.2,9.39,-0.00,-0.00,196.2,0.59,-0.23,-12.01,67.7,14.41
390,6.4833,-0.33,6.22,129.1,9.49,-0.00,0.00,227.4,0.59,-1.94,-13.87,78.5,14.27
391,6.5000,-0.15,6.51,129.9,9.55,0.00,-0.00,202.9,0.60,-0.74,15.44,60.3,14.40
392,6.5167,-1.07,7.67,126.7,9.57,0.00,-0.00,208.3,0.63,0.03,15.71,89.7,14.27
393,6.5333,-0.15,7.33,143.2,9.58,-0.00,0.01,187.2,0.63,1.51,15.44,71.6,14.07
