frame,t_s,dxA,dyA,peakA,dxB,dyB,peakB
346,5.7500,76.28,-66.02,27.4,-27.51,63.91,47.4
347,5.7667,79.29,-68.47,27.7,113.57,-67.38,24.5
348,5.7833,82.04,-70.53,24.5,-24.26,68.35,32.3
349,5.8000,85.71,-73.82,28.9,-26.60,76.55,23.4
350,5.8167,88.48,-75.75,26.8,-30.21,44.36,9.3
351,5.8333,92.04,-78.02,30.0,-30.00,50.05,18.7
352,5.8500,95.86,-80.17,26.5,-20.00,47.97,19.5
353,5.8667,-2.84,-16.04,29.2,-32.06,56.01,22.6
354,5.8833,-3.22,-16.28,31.2,-28.12,31.26,21.3
355,5.9000,-3.41,-16.40,36.7,-28.25,31.71,32.5
356,5.9167,-3.70,-16.63,39.4,-30.11,33.94,38.5
357,5.9333,-3.47,-16.42,41.8,67.34,-43.74,41.0
358,5.9500,-3.36,-17.14,35.2,71.66,-46.17,59.8
359,5.9667,-3.81,-16.44,43.8,76.00,-48.59,50.7
360,5.9833,-3.36,-16.14,48.7,-29.90,37.57,44.6
361,6.0000,-2.95,-16.36,56.3,88.41,-57.72,72.2
362,6.0167,-4.04,-15.82,58.9,94.34,-61.81,68.3
363,6.0333,-3.18,-15.66,60.0,101.70,-67.82,62.8
364,6.0500,-5.06,-15.90,60.3,-29.66,41.62,44.3
365,6.0667,-4.04,-14.23,53.1,113.65,-76.71,58.3
366,6.0833,-4.58,-14.07,58.2,120.07,-81.75,52.1
367,6.1000,-4.73,-13.86,67.1,-24.42,39.21,41.8
368,6.1167,-5.91,-10.44,74.0,-26.13,41.46,58.9
369,6.1333,-6.17,-10.45,57.3,140.01,-99.65,44.2
370,6.1500,-6.55,-8.49,58.3,147.35,-106.28,42.0
371,6.1667,-7.03,-8.18,61.4,-23.70,38.13,51.4
372,6.1833,-7.36,-6.68,54.3,-24.06,40.17,55.0
373,6.2000,-7.01,-6.04,83.4,-23.75,40.34,65.0
374,6.2167,-7.82,-4.74,54.0,-21.59,38.06,63.6
375,6.2333,-7.49,-4.09,105.2,-21.69,37.85,81.9
376,6.2500,-7.33,-2.70,62.6,-21.73,37.53,87.9
377,6.2667,-7.42,-2.09,103.5,-21.64,36.83,71.8
378,6.2833,-6.17,-1.42,77.5,-21.90,34.61,56.7
379,6.3000,-7.41,0.03,103.7,-19.37,34.14,65.3
380,6.3167,-6.73,0.75,66.4,-19.75,32.46,54.7
381,6.3333,-6.31,2.05,143.0,-16.06,21.05,48.0
382,6.3500,-7.20,3.66,82.5,-14.37,19.62,94.9
383,6.3667,-6.02,4.01,130.0,-12.43,17.95,96.8
384,6.3833,-5.23,4.86,74.2,-11.31,16.48,106.5
385,6.4000,-5.72,6.00,162.1,-10.13,15.91,164.4
386,6.4167,-4.26,6.35,138.1,-8.26,14.20,117.9
387,6.4333,-4.10,6.43,122.1,-8.13,15.36,116.8
388,6.4500,-2.31,6.38,122.8,-6.72,15.45,99.4
389,6.4667,-1.86,6.65,103.2,-5.94,15.78,136.9
390,6.4833,-0.33,6.22,129.1,-4.32,15.82,122.6
391,6.5000,-0.15,6.51,129.8,-3.55,16.10,122.9
392,6.5167,-1.07,7.67,126.7,-2.09,16.00,173.7
393,6.5333,-0.15,7.33,143.2,-1.36,16.04,118.0
394,6.5500,0.17,7.53,149.6,-0.00,15.96,198.0
395,6.5667,0.35,7.67,152.2,0.44,16.26,126.2
396,6.5833,0.81,7.67,128.0,2.04,15.96,124.2
397,6.6000,2.00,7.38,146.1,2.31,16.86,110.1
398,6.6167,2.32,7.32,134.0,3.41,16.14,119.7
399,6.6333,3.52,6.49,127.6,4.00,16.03,201.1
400,6.6500,3.94,6.56,143.4,4.24,16.51,139.2
401,6.6667,4.09,6.50,156.7,4.61,16.66,103.8
402,6.6833,4.11,6.94,134.4,5.77,16.77,105.3
403,6.7000,4.18,6.26,201.3,5.78,16.17,145.1
404,6.7167,4.47,6.50,147.8,6.07,16.44,166.5
405,6.7333,4.51,6.32,169.2,6.02,16.19,198.6
406,6.7500,4.64,6.64,143.9,6.04,17.30,155.2
407,6.7667,5.12,6.63,124.7,6.18,17.76,175.9
408,6.7833,5.18,6.42,139.3,6.23,17.50,151.1
409,6.8000,4.90,6.39,142.2,6.24,17.41,151.1
410,6.8167,5.01,6.56,131.7,6.59,17.53,127.0
411,6.8333,5.41,6.73,136.2,7.31,17.98,135.8
412,6.8500,5.24,6.49,148.5,7.06,17.92,112.5
413,6.8667,5.64,6.82,141.8,7.66,18.17,148.9
414,6.8833,5.54,6.61,153.0,7.69,18.05,155.7
415,6.9000,5.48,6.91,143.2,7.61,18.27,140.0
416,6.9167,5.48,6.97,141.2,7.69,18.21,142.1
417,6.9333,5.50,6.80,150.7,7.50,18.45,117.5
418,6.9500,5.43,7.17,149.0,7.53,19.09,93.3
419,6.9667,5.11,7.05,127.2,6.28,18.37,110.6
420,6.9833,5.18,7.62,154.1,6.86,19.71,123.7
421,7.0000,4.29,7.00,157.2,6.17,19.22,140.3
422,7.0167,4.36,7.32,171.6,6.01,19.99,177.5
423,7.0333,4.09,7.40,202.2,4.93,19.83,104.1
424,7.0500,3.92,7.62,216.2,4.08,19.94,136.1
425,7.0667,3.84,7.79,235.2,3.86,20.46,125.2
