frame,t_s,dxA,dyA,peakA,dxB,dyB,peakB
346,5.7500,76.28,-66.02,27.4,33.42,-36.21,32.8
347,5.7667,79.29,-68.47,27.7,34.62,-37.64,33.8
348,5.7833,82.04,-70.53,24.5,36.63,-39.44,28.8
349,5.8000,85.71,-73.82,28.9,99.78,-84.07,39.6
350,5.8167,88.48,-75.75,26.8,40.25,-43.28,40.2
351,5.8333,92.04,-78.02,30.0,110.06,-91.85,41.5
352,5.8500,95.86,-80.17,26.5,45.67,-47.76,54.4
353,5.8667,-2.84,-16.04,29.2,48.44,-49.76,59.6
354,5.8833,-3.22,-16.28,31.2,51.42,-52.05,48.0
355,5.9000,-3.41,-16.40,36.7,54.65,-54.00,41.5
356,5.9167,-3.70,-16.63,39.4,58.42,-57.18,34.1
357,5.9333,-3.47,-16.42,41.8,62.48,-59.43,21.9
358,5.9500,-3.36,-17.14,35.2,-88.17,-55.92,28.2
359,5.9667,-3.81,-16.44,43.8,-92.07,-58.18,33.7
360,5.9833,-3.36,-16.14,48.7,-19.73,4.05,34.8
361,6.0000,-2.95,-16.36,56.3,-19.27,4.50,32.6
362,6.0167,-4.04,-15.82,58.9,-103.82,-65.95,39.1
363,6.0333,-3.18,-15.66,60.0,-20.54,5.85,33.4
364,6.0500,-5.06,-15.90,60.3,-21.47,6.52,37.2
365,6.0667,-4.04,-14.23,53.1,-116.06,-74.60,25.3
366,6.0833,-4.58,-14.07,58.2,-120.37,-77.98,28.0
367,6.1000,-4.73,-13.86,67.1,-19.37,12.11,31.5
368,6.1167,-5.91,-10.44,74.0,-20.04,12.15,47.6
369,6.1333,-6.17,-10.45,57.3,-20.04,12.47,56.8
370,6.1500,-6.55,-8.49,58.3,-20.39,13.73,69.8
371,6.1667,-7.03,-8.18,61.4,-20.25,13.85,76.9
372,6.1833,-7.36,-6.68,54.3,-21.64,15.27,61.3
373,6.2000,-7.01,-6.04,83.4,-21.35,15.27,68.3
374,6.2167,-7.82,-4.74,54.0,-21.48,15.17,69.9
375,6.2333,-7.49,-4.09,105.2,-20.54,15.90,81.1
376,6.2500,-7.33,-2.70,62.6,-20.24,16.06,87.5
377,6.2667,-7.42,-2.09,103.5,-19.90,15.94,105.1
378,6.2833,-6.17,-1.42,77.5,-19.52,15.73,62.8
379,6.3000,-7.41,0.03,103.7,-0.00,-0.00,125.4
380,6.3167,-6.73,0.75,66.4,0.00,-0.00,202.1
381,6.3333,-6.31,2.05,143.0,-0.00,-0.00,212.9
382,6.3500,-7.20,3.66,82.5,0.00,0.00,219.9
383,6.3667,-6.02,4.01,130.0,-0.00,0.00,240.4
384,6.3833,-5.23,4.86,74.2,-0.00,0.01,138.5
385,6.4000,-5.72,6.00,162.1,0.00,0.00,231.6
386,6.4167,-4.26,6.35,138.1,-0.00,0.00,243.2
387,6.4333,-4.10,6.43,122.1,-0.00,0.01,213.8
388,6.4500,-2.31,6.38,122.8,0.00,0.00,203.6
