frame,t,ground_dx_at_hole,ground_dy_at_hole,n_inliers,local_scale,sim_scale,zoom_resid_ln,cum_zoom_from_f785
286,4.7907,-0.002,0.008,1004,0.99999,0.99999,0.00114,1.0
287,4.8075,-0.004,0.007,1041,0.99999,0.99999,0.00114,1.0
288,4.8243,-0.002,0.006,1046,0.99999,0.99999,0.00114,1.0
289,4.8411,0.0,0.006,1019,0.99998,0.99999,0.00114,1.0
290,4.858,-0.002,0.002,1029,0.99999,0.99999,0.00115,1.0
291,4.8748,0.001,0.002,1035,0.99998,0.99999,0.00114,1.0
292,4.8916,-0.0,0.003,1056,0.99999,0.99999,0.00114,1.0
293,4.9084,0.001,0.002,1027,0.99998,0.99999,0.00114,1.0
294,4.9252,0.001,0.003,1019,0.99999,0.99999,0.00114,1.0
295,4.942,0.001,0.0,1059,0.99999,0.99999,0.00114,1.0
296,4.9588,0.0,-0.001,1027,0.99998,0.99999,0.00114,1.0
297,4.9756,0.002,0.001,978,0.99998,0.99999,0.00114,1.0
298,4.9924,0.003,0.002,1003,0.99998,0.99999,0.00113,1.0
299,5.0092,0.003,0.001,986,0.99998,0.99999,0.00113,1.0
300,5.0261,0.0,0.0,979,0.99998,0.99999,0.00114,1.0
301,5.0429,0.0,0.005,985,0.99998,0.99999,0.00114,1.0
302,5.0597,0.001,0.004,976,0.99999,0.99999,0.00114,1.0
303,5.0765,0.002,0.003,975,0.99998,0.99999,0.00113,1.0
304,5.0933,0.001,0.005,975,0.99998,0.99999,0.00114,1.0
305,5.1101,0.009,0.002,976,0.99998,0.99999,0.00114,1.0
306,5.1269,0.003,-0.01,977,0.99997,0.99999,0.00113,1.0
307,5.1437,0.006,-0.014,967,0.99996,0.99998,0.00113,1.0
308,5.1605,0.0,0.001,908,1.0,1.0,0.00115,1.0
309,5.1773,0.001,0.001,877,1.0,1.0,0.00115,1.0
310,5.1942,0.007,0.0,868,1.0,1.0,0.00115,1.0
311,5.211,-0.002,0.007,894,0.99998,0.99999,0.00114,1.0
312,5.2278,0.001,0.007,895,0.99999,0.99999,0.00114,1.0
313,5.2446,0.005,0.009,899,1.0,1.0,0.00115,1.0
314,5.2614,-0.028,0.077,758,1.00014,1.00037,0.00126,1.0
315,5.2782,0.063,0.086,939,1.00045,1.00071,0.00157,1.0
316,5.295,0.093,0.191,929,1.00119,1.00145,0.00225,1.0
317,5.3118,-0.02,0.075,928,1.00153,1.00201,0.00265,1.0
318,5.3286,-0.044,0.209,950,1.00212,1.00283,0.00317,1.0
319,5.3454,-0.075,0.135,901,1.00292,1.00334,0.004,1.0
320,5.3622,-0.038,0.295,930,1.00338,1.00454,0.00438,1.0
321,5.3791,-0.09,0.187,821,1.00436,1.00463,0.00541,1.0
322,5.3959,0.083,0.459,785,1.00533,1.00579,0.00624,1.0
323,5.4127,-0.268,0.441,648,1.00685,1.00729,0.00775,1.0
324,5.4295,0.113,0.295,662,1.00715,1.00847,0.00813,1.0
325,5.4463,-0.023,0.29,628,1.00742,1.00938,0.0084,1.0
326,5.4631,-0.012,0.207,595,1.00816,1.00731,0.00917,1.0
327,5.4799,0.088,0.22,592,1.00945,1.0084,0.01045,1.0
328,5.4967,0.004,0.291,607,1.01035,1.00936,0.01131,1.0
329,5.5135,0.051,0.362,594,1.01154,1.01174,0.01244,1.0
330,5.5303,0.129,0.413,586,1.01264,1.01184,0.01351,1.0
331,5.5472,-0.034,0.393,562,1.01398,1.01263,0.01483,1.0
332,5.564,-0.137,0.416,565,1.01524,1.01392,0.01606,1.0
333,5.5808,0.098,0.661,546,1.01719,1.01537,0.01786,1.0
334,5.5976,-0.174,0.457,529,1.01844,1.01696,0.01919,1.0
335,5.6144,-0.184,0.622,526,1.02053,1.01834,0.02115,1.0
336,5.6312,-0.419,0.656,531,1.0218,1.02105,0.02237,1.0
337,5.648,-0.29,0.829,565,1.02417,1.02389,0.02461,1.0
338,5.6648,-0.286,1.046,561,1.02629,1.02408,0.02656,1.0
339,5.6816,-0.261,1.188,585,1.02881,1.0281,0.02893,1.0
340,5.6984,-0.397,1.377,583,1.03105,1.03085,0.03101,1.0
341,5.7152,-0.447,1.807,570,1.03368,1.0313,0.03333,1.0
342,5.7321,-1.031,1.05,672,1.0355,1.03391,0.03547,1.0
343,5.7489,-0.965,1.571,716,1.03792,1.03584,0.03754,1.0
344,5.7657,-1.118,1.843,738,1.04015,1.03956,0.03953,1.0
345,5.7825,-0.337,1.124,773,1.04188,1.04022,0.04159,1.0
346,5.7993,-0.485,1.902,721,1.04409,1.04231,0.0433,1.0
347,5.8161,-0.582,2.223,716,1.04543,1.04115,0.04441,1.0
348,5.8329,-0.574,2.352,725,1.0468,1.04068,0.04566,1.0
349,5.8497,-0.68,2.466,724,1.04865,1.04487,0.04736,1.0
350,5.8665,-0.715,2.869,738,1.04954,1.04536,0.04801,1.0
351,5.8833,-0.697,3.127,658,1.05012,1.03952,0.04842,1.0
352,5.9002,-0.892,3.493,661,1.05033,1.04393,0.04842,1.0
353,5.917,-0.684,3.734,650,1.05064,1.04441,0.0486,1.0
354,5.9338,-0.604,3.723,634,1.05127,1.04119,0.04921,1.0
355,5.9506,-1.116,4.205,636,1.05068,1.04188,0.04838,1.0
356,5.9674,-1.06,4.652,594,1.0517,1.04165,0.04912,1.0
357,5.9842,-0.897,4.869,598,1.05008,1.04061,0.04748,1.0
358,6.001,-1.069,5.508,582,1.04972,1.039,0.04679,1.0
359,6.0178,-0.942,5.955,543,1.04959,1.04226,0.04644,1.0
360,6.0346,-1.148,5.882,518,1.04821,1.0387,0.04516,1.0
361,6.0514,-1.053,6.652,485,1.04892,1.03907,0.04544,1.0
362,6.0682,-1.331,7.016,476,1.04793,1.03701,0.0443,1.0
363,6.0851,-1.463,7.18,483,1.0458,1.03632,0.04218,1.0
364,6.1019,-1.737,7.718,484,1.04595,1.03661,0.04204,1.0
365,6.1187,-1.956,8.198,500,1.04422,1.04013,0.04013,1.0
366,6.1355,-2.541,8.447,473,1.04293,1.03396,0.03874,1.0
367,6.1523,-2.498,8.793,492,1.04113,1.03195,0.03683,1.0
368,6.1691,-2.985,9.191,489,1.04024,1.03121,0.03576,1.0
369,6.1859,-3.25,9.578,489,1.03861,1.03087,0.03398,1.0
370,6.2027,-3.732,9.888,494,1.03686,1.02936,0.03213,1.0
371,6.2195,-3.92,9.845,502,1.0339,1.02696,0.02929,1.0
372,6.2363,-4.484,10.339,525,1.03357,1.02624,0.02869,1.0
373,6.2532,-4.669,10.291,526,1.03083,1.02471,0.02605,1.0
374,6.27,-5.016,10.784,510,1.02952,1.02339,0.02452,1.0
375,6.2868,-5.301,11.043,513,1.0276,1.02137,0.02251,1.0
376,6.3036,-5.673,11.373,515,1.02556,1.01972,0.02035,1.0
377,6.3204,-5.746,10.998,531,1.02313,1.01826,0.01816,1.0
378,6.3372,-6.16,11.055,508,1.02095,1.01686,0.01599,1.0
379,6.354,-6.214,10.836,524,1.01864,1.01436,0.01384,1.0
380,6.3708,-6.237,10.985,482,1.01655,1.01266,0.0117,1.0
381,6.3876,-6.047,11.469,474,1.01635,1.01806,0.01126,1.0
382,6.4044,-6.524,11.567,468,1.01314,1.01566,0.00803,1.0
383,6.4212,-6.388,11.132,458,1.01085,1.01344,0.006,1.0
384,6.4381,-6.32,10.977,431,1.00888,1.0117,0.00413,1.0
385,6.4549,-6.12,11.134,398,1.00701,1.00971,0.0022,1.0
386,6.4717,-5.54,10.9,400,1.00564,1.00697,0.00097,1.0
387,6.4885,-4.897,11.02,434,1.0054,1.00718,0.00069,1.0
388,6.5053,-3.714,11.183,453,1.00567,1.00733,0.00092,1.0
389,6.5221,-2.543,11.156,454,1.00553,1.00734,0.00082,1.0
390,6.5389,-2.132,11.126,463,1.00557,1.00738,0.00088,1.0
391,6.5557,-1.297,11.174,487,1.0054,1.00484,0.00072,1.0
392,6.5725,-0.464,11.153,477,1.00516,1.00448,0.00051,1.0
393,6.5893,0.781,11.375,457,1.00574,1.00734,0.001,1.0
394,6.6062,1.537,11.139,491,1.0054,1.00638,0.00081,1.0
395,6.623,2.221,10.974,487,1.00548,1.0053,0.00099,1.0
396,6.6398,2.669,11.123,443,1.00547,1.0055,0.00092,1.0
397,6.6566,3.395,11.089,455,1.0056,1.0046,0.00109,1.0
398,6.6734,4.029,10.747,444,1.00539,1.00602,0.00108,1.0
399,6.6902,4.512,10.5,417,1.00505,1.00624,0.00088,1.0
400,6.707,5.052,10.742,363,1.00533,1.00641,0.00104,1.0
