frame,t_s,dxA,dyA,peakA,dxB,dyB,peakB
400,6.6500,3.94,6.56,143.4,4.24,16.51,139.2
401,6.6667,4.09,6.50,156.7,4.61,16.66,103.8
402,6.6833,4.11,6.94,134.4,5.77,16.77,105.3
403,6.7000,4.18,6.26,201.3,5.78,16.17,145.1
404,6.7167,4.47,6.50,147.8,6.07,16.44,166.5
405,6.7333,4.51,6.32,169.2,6.02,16.19,198.6
406,6.7500,4.64,6.64,143.9,6.04,17.30,155.2
407,6.7667,5.12,6.63,124.7,6.18,17.76,175.9
408,6.7833,5.18,6.42,139.3,6.23,17.50,151.1
409,6.8000,4.90,6.39,142.2,6.24,17.41,151.1
410,6.8167,5.01,6.56,131.7,6.59,17.53,127.0
