frame,t_s,diameter_px,centre_x,centre_y,span_row,span,height,area,rim_l,rim_r,rim_outer,occl,ncomp,widest_y
518,8.6167,272,699.0,1407.5,279,280,188,28572,0,0,279,1,1,1408
519,8.6333,240,688.5,1408.0,244,251,187,26164,30,0,274,0,1,1429
520,8.6500,190,680.5,1408.5,196,219,188,23649,31,0,227,0,1,1452
521,8.6667,140,649.5,1408.0,140,178,191,21128,0,0,140,0,1,1369
522,8.6833,135,706.5,1409.0,266,278,189,19965,0,0,266,1,2,1379
523,8.7000,136,707.0,1410.0,265,277,189,18459,0,0,265,1,2,1380
524,8.7167,124,708.5,1409.0,266,278,179,18178,0,0,266,1,2,1379
525,8.7333,110,710.0,1408.5,275,284,180,18423,0,0,275,1,2,1389
526,8.7500,228,710.5,1409.5,288,291,182,22646,0,0,288,1,1,1404
527,8.7667,285,711.0,1406.5,293,293,176,27584,0,0,293,1,1,1412
528,8.7833,291,712.0,1405.5,293,293,174,28264,0,0,293,0,1,1414
529,8.8000,294,712.5,1410.5,294,294,184,33648,0,0,294,0,1,1415
530,8.8167,293,712.0,1414.0,293,295,189,35151,0,0,293,0,1,1412
531,8.8333,294,712.5,1414.0,294,295,189,35139,29,0,323,0,1,1415
532,8.8500,294,712.5,1414.0,294,295,189,35759,30,0,324,0,1,1414
