frame,t_s,diameter_px,centre_x,centre_y,span_row,span,height,area,rim_l,rim_r,rim_outer,occl,ncomp,widest_y
700,11.6500,119,704.5,1404.5,294,294,184,23668,29,0,323,1,2,1410
701,11.6667,232,703.5,1405.0,294,294,183,28457,29,0,323,1,1,1409
702,11.6833,252,701.0,1403.5,293,294,182,29316,29,0,322,1,1,1408
703,11.7000,293,700.0,1402.5,293,293,184,34774,0,0,293,0,1,1408
704,11.7167,293,697.0,1402.0,293,293,185,40273,0,0,293,0,1,1407
705,11.7333,293,694.0,1401.5,293,293,186,41206,0,0,293,0,1,1406
706,11.7500,293,691.0,1400.5,293,293,186,41164,0,0,293,0,1,1403
707,11.7667,293,687.0,1399.5,293,293,186,38758,30,0,323,0,1,1403
708,11.7833,231,666.0,1398.0,299,317,187,34417,14,0,313,1,2,1365
709,11.8000,195,631.5,1420.0,232,255,141,15747,0,0,232,1,1,1436
710,11.8167,104,615.5,1449.5,222,223,132,4726,0,0,222,1,3,1480
711,11.8333,0,615,1450,0,0,0,0,0,0,0,1,0,0
712,11.8500,0,615,1450,0,0,0,0,0,0,0,1,0,0
713,11.8667,0,615,1450,0,0,0,0,0,0,0,1,0,0
714,11.8833,0,615,1450,0,0,0,0,0,0,0,1,0,0
715,11.9000,0,615,1450,0,0,0,0,0,0,0,1,0,0
716,11.9167,293,658.0,1395.0,293,293,187,40970,30,0,323,0,1,1401
