frame,t_s,diameter_px,centre_x,centre_y,span_row,span,height,area,rim_l,rim_r,rim_outer,occl,ncomp,widest_y
776,12.9167,128,713.5,1416.0,294,295,183,21328,0,0,294,1,1,1415
777,12.9333,105,713.5,1412.5,294,294,174,20602,0,0,294,1,2,1415
778,12.9500,119,712.5,1410.5,294,295,180,22873,29,0,323,1,2,1416
779,12.9667,157,712.5,1412.5,294,295,186,26574,29,0,323,1,1,1416
780,12.9833,178,712.5,1413.5,294,295,188,27485,0,0,294,1,1,1415
781,13.0000,281,712.5,1413.5,294,295,188,33121,0,0,294,1,1,1415
782,13.0167,294,712.5,1413.5,294,295,188,39001,0,0,294,0,1,1414
783,13.0333,294,712.5,1413.0,294,294,189,41715,0,0,294,0,1,1417
784,13.0500,294,711.5,1412.5,294,295,188,41726,0,0,294,0,1,1414
785,13.0667,336,711.5,1412.5,336,336,220,56344,0,0,336,0,1,1416
786,13.0833,354,715.5,1410.0,354,354,233,62478,36,0,390,0,1,1415
787,13.1000,370,717.5,1408.0,370,370,247,65106,37,0,407,0,1,1414
788,13.1167,385,719.0,1406.5,385,385,258,71797,39,0,424,0,1,1408
789,13.1333,398,720.5,1405.0,398,398,267,78696,0,0,398,0,1,1408
790,13.1500,416,721.5,1404.0,416,416,281,85079,42,0,458,0,1,1412
791,13.1667,435,721.0,1404.0,435,436,295,91110,44,0,479,0,1,1411
792,13.1833,454,720.5,1406.0,454,454,307,96873,46,0,500,0,1,1412
793,13.2000,468,719.5,1407.0,468,469,321,102378,0,0,468,0,1,1401
794,13.2167,479,719.5,1408.0,488,489,333,108486,0,0,488,1,2,1416
795,13.2333,484,718.5,1409.0,502,503,343,113849,0,0,502,1,2,1408
796,13.2500,479,717.5,1410.5,516,517,352,118420,0,0,516,1,2,1416
797,13.2667,468,717.0,1411.5,527,527,360,121621,54,0,581,1,2,1425
798,13.2833,467,716.0,1412.5,535,535,366,125429,55,0,590,1,2,1427
799,13.3000,447,715.5,1413.5,538,538,368,128467,0,0,538,1,2,1426
800,13.3167,419,714.5,1414.0,538,538,369,130015,56,0,594,1,2,1429
