frame,t,knob_x,knob_y,knob_method,base_x,base_y,ring_r,base_method,knob_dist,knob_angle_deg,hole_vx,hole_vy,hole_speed,travel_angle_deg
271,4.5386,659.0,2145.0,H,660.0,2146.0,165.0,H,1.4,-135.0,,,,
272,4.5554,659.0,2143.0,H,658.0,2150.0,169.0,H,7.1,-81.9,,,,
273,4.5722,661.0,2143.0,H,658.0,2146.0,165.0,H,4.2,-45.0,,,,
274,4.589,661.0,2143.0,H,658.0,2150.0,169.0,H,7.6,-66.8,,,,
275,4.6058,659.0,2145.0,H,660.0,2150.0,160.60000610351562,H,5.1,-101.3,,,,
276,4.6226,661.0,2143.0,H,658.0,2148.0,169.0,H,5.8,-59.0,,,,
277,4.6394,659.0,2145.0,H,660.0,2150.0,160.60000610351562,H,5.1,-101.3,,,,
278,4.6562,659.0,2145.0,H,660.0,2150.0,160.60000610351562,H,5.1,-101.3,,,,
279,4.6731,659.0,2145.0,H,660.0,2150.0,160.60000610351562,H,5.1,-101.3,,,,
280,4.6899,659.0,2145.0,H,660.0,2150.0,160.60000610351562,H,5.1,-101.3,,,,
281,4.7067,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,,,,
282,4.7235,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,,,,
283,4.7403,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,,,,
284,4.7571,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,,,,
285,4.7739,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,0.0,-0.01,0.01,-88.5
286,4.7907,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,0.0,-0.01,0.01,-72.5
287,4.8075,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,0.0,-0.01,0.01,-61.9
288,4.8243,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,0.0,-0.01,0.01,-70.2
289,4.8411,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,-0.0,-0.01,0.01,-93.7
290,4.858,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,0.0,-0.0,0.0,-48.6
291,4.8748,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,-0.0,-0.0,0.0,-113.5
292,4.8916,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,0.0,-0.0,0.0,-90.0
293,4.9084,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,-0.0,-0.0,0.0,-121.0
294,4.9252,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,-0.0,-0.0,0.0,-112.8
295,4.942,659.0,2143.0,H,658.0,2150.0,169.39999389648438,H,7.1,-81.9,-0.0,-0.0,0.0,-159.3
296,4.9588,659.0,2143.0,H,662.0,2154.0,165.0,H,11.4,-105.3,-0.0,0.0,0.0,91.7
297,4.9756,659.0,2143.0,H,662.0,2154.0,165.0,H,11.4,-105.3,-0.0,-0.0,0.0,-153.0
298,4.9924,659.0,2143.0,H,662.0,2154.0,165.0,H,11.4,-105.3,-0.0,-0.0,0.0,-139.6
299,5.0092,659.0,2143.0,H,662.0,2154.0,165.0,H,11.4,-105.3,-0.0,-0.0,0.0,-163.9
300,5.0261,659.0,2143.0,H,662.0,2154.0,165.0,H,11.4,-105.3,-0.0,-0.0,0.0,-136.3
301,5.0429,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,-0.0,-0.0,0.0,-92.3
302,5.0597,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,-0.0,-0.0,0.0,-100.0
303,5.0765,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,-0.0,-0.0,0.0,-118.5
304,5.0933,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,-0.0,-0.01,0.01,-101.3
305,5.1101,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,-0.01,-0.0,0.01,-167.4
306,5.1269,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,-0.0,0.01,0.01,105.2
307,5.1437,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,-0.01,0.01,0.02,114.3
308,5.1605,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,-0.0,-0.0,0.0,-91.3
309,5.1773,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,-0.0,-0.0,0.0,-148.7
310,5.1942,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,-0.01,-0.0,0.01,-177.9
311,5.211,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,0.0,-0.01,0.01,-70.1
312,5.2278,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,-0.0,-0.01,0.01,-95.6
313,5.2446,657.0,2143.0,H,660.0,2150.0,160.60000610351562,H,7.6,-113.2,-0.01,-0.01,0.01,-120.0
314,5.2614,959.0,2025.0,H,958.0,2032.0,160.60000610351562,H,7.1,-81.9,0.03,-0.08,0.08,-70.1
315,5.2782,959.0,2025.0,H,956.0,2032.0,160.39999389648438,H,7.6,-66.8,-0.06,-0.09,0.11,-126.2
316,5.295,957.0,2025.0,H,960.0,2032.0,164.8000030517578,H,7.6,-113.2,-0.09,-0.19,0.21,-116.0
317,5.3118,957.0,2023.0,H,960.0,2032.0,164.8000030517578,H,9.5,-108.4,0.02,-0.07,0.08,-75.0
318,5.3286,957.0,2023.0,H,960.0,2032.0,164.8000030517578,H,9.5,-108.4,0.04,-0.21,0.21,-78.1
319,5.3454,981.0,2005.0,H,960.0,2034.0,164.8000030517578,H,35.8,-54.1,0.07,-0.14,0.15,-61.1
320,5.3622,985.0,2003.0,H,956.0,2032.0,169.0,H,41.0,-45.0,0.04,-0.29,0.3,-82.6
321,5.3791,987.0,1997.0,H,956.0,2032.0,160.39999389648438,H,46.8,-48.5,0.09,-0.19,0.21,-64.2
322,5.3959,995.0,1991.0,H,956.0,2032.0,169.0,H,56.6,-46.4,-0.08,-0.46,0.47,-100.2
323,5.4127,997.0,1983.0,H,956.0,2032.0,162.1999969482422,H,63.9,-50.1,0.27,-0.44,0.52,-58.7
324,5.4295,1003.0,1979.0,H,958.0,2028.0,165.0,H,66.5,-47.4,-0.11,-0.29,0.32,-110.9
325,5.4463,1007.0,1969.0,H,956.0,2032.0,160.39999389648438,H,81.1,-51.0,0.02,-0.29,0.29,-85.5
326,5.4631,1009.0,1965.0,H,958.0,2030.0,169.39999389648438,H,82.6,-51.9,0.01,-0.21,0.21,-86.7
327,5.4799,1011.0,1961.0,H,958.0,2032.0,169.0,H,88.6,-53.3,-0.09,-0.22,0.24,-111.8
328,5.4967,1015.0,1957.0,H,960.0,2032.0,165.0,H,93.0,-53.7,-0.0,-0.29,0.29,-90.8
329,5.5135,1015.0,1951.0,H,956.0,2032.0,160.39999389648438,H,100.2,-53.9,-0.05,-0.36,0.37,-98.1
330,5.5303,1017.0,1945.0,H,956.0,2032.0,160.60000610351562,H,106.3,-55.0,-0.13,-0.41,0.43,-107.4
331,5.5472,1015.0,1943.0,H,956.0,2032.0,160.60000610351562,H,106.8,-56.5,0.03,-0.39,0.39,-85.0
