frame,t_s,found,knob_x,knob_y,knob_w,knob_h,area_full,fill
250,4.1500,0,,,,,,
251,4.1667,0,,,,,,
252,4.1833,0,,,,,,
253,4.2000,0,,,,,,
254,4.2167,0,,,,,,
255,4.2333,0,,,,,,
256,4.2500,0,,,,,,
257,4.2667,0,,,,,,
258,4.2833,0,,,,,,
259,4.3000,0,,,,,,
260,4.3167,0,,,,,,
261,4.3333,0,,,,,,
262,4.3500,0,,,,,,
263,4.3667,0,,,,,,
264,4.3833,0,,,,,,
265,4.4000,0,,,,,,
266,4.4167,0,,,,,,
267,4.4333,0,,,,,,
268,4.4500,0,,,,,,
269,4.4667,0,,,,,,
270,4.4833,0,,,,,,
271,4.5000,1,661.8,2141.0,152,152,20419,0.76
272,4.5167,1,661.8,2141.0,152,152,20416,0.76
273,4.5333,1,661.8,2141.2,152,151,20374,0.76
274,4.5500,1,661.8,2141.3,152,151,20374,0.76
275,4.5667,1,660.8,2141.2,152,150,19819,0.74
276,4.5833,1,660.4,2141.0,152,150,19565,0.73
277,4.6000,1,660.4,2141.0,152,150,19569,0.73
278,4.6167,1,660.4,2141.0,152,150,19569,0.73
279,4.6333,1,660.4,2141.0,152,150,19569,0.73
280,4.6500,1,660.4,2141.0,152,150,19569,0.73
281,4.6667,1,659.8,2141.1,152,150,19404,0.72
282,4.6833,1,659.8,2141.1,152,150,19404,0.72
283,4.7000,1,659.8,2141.1,152,150,19404,0.72
284,4.7167,1,659.8,2141.1,152,150,19404,0.72
285,4.7333,1,659.8,2141.1,152,150,19404,0.72
286,4.7500,1,659.8,2141.1,152,150,19404,0.72
287,4.7667,1,659.8,2141.1,152,150,19404,0.72
288,4.7833,1,659.8,2141.1,152,150,19404,0.72
289,4.8000,1,659.8,2141.1,152,150,19404,0.72
290,4.8167,1,660.0,2141.6,151,150,19030,0.71
291,4.8333,1,660.0,2141.6,151,150,19030,0.71
292,4.8500,1,660.0,2141.6,151,150,19030,0.71
293,4.8667,1,660.0,2141.6,151,150,19030,0.71
294,4.8833,1,660.0,2141.6,151,150,19030,0.71
295,4.9000,1,660.0,2141.6,151,150,19030,0.71
296,4.9167,1,659.9,2141.1,151,148,18878,0.72
297,4.9333,1,659.9,2141.1,151,148,18878,0.72
298,4.9500,1,659.9,2141.1,151,148,18878,0.72
299,4.9667,1,659.9,2141.1,151,148,18878,0.72
300,4.9833,1,659.9,2141.1,151,148,18878,0.72
301,5.0000,1,659.5,2142.0,150,148,18479,0.74
302,5.0167,1,659.5,2142.0,150,148,18479,0.74
303,5.0333,1,659.5,2142.0,150,148,18479,0.74
304,5.0500,1,659.5,2142.0,150,148,18479,0.74
305,5.0667,1,659.5,2142.0,150,148,18479,0.74
306,5.0833,1,659.5,2142.0,150,148,18479,0.74
307,5.1000,1,659.5,2142.0,150,148,18479,0.74
308,5.1167,1,659.5,2142.0,150,148,18479,0.74
309,5.1333,1,659.5,2142.0,150,148,18479,0.74
310,5.1500,1,659.5,2142.0,150,148,18479,0.74
311,5.1667,1,659.5,2142.0,150,148,18479,0.74
312,5.1833,1,659.5,2142.0,150,148,18479,0.74
313,5.2000,1,659.5,2142.0,150,148,18479,0.74
314,5.2167,1,960.9,2020.7,147,149,19814,0.80
315,5.2333,1,960.9,2020.7,147,148,19799,0.80
316,5.2500,1,961.0,2020.7,147,149,19800,0.80
317,5.2667,1,961.1,2020.6,148,149,19778,0.80
318,5.2833,1,961.1,2020.6,148,149,19791,0.80
319,5.3000,1,983.9,2002.1,143,151,19573,0.78
320,5.3167,1,987.7,1998.7,147,151,19766,0.76
321,5.3333,1,993.0,1993.7,148,150,19864,0.76
322,5.3500,1,997.9,1987.4,147,149,19738,0.77
323,5.3667,1,1002.1,1980.8,148,150,19891,0.75
324,5.3833,1,1006.3,1973.6,148,150,19802,0.77
325,5.4000,1,1009.5,1967.2,148,151,19724,0.76
326,5.4167,1,1010.9,1961.9,148,149,19614,0.74
327,5.4333,1,1014.2,1957.9,148,150,19579,0.74
328,5.4500,1,1016.4,1953.1,150,151,19869,0.75
329,5.4667,1,1017.4,1948.3,150,150,19792,0.75
330,5.4833,1,1018.3,1943.2,150,151,19980,0.76
331,5.5000,1,1018.5,1938.7,150,150,19964,0.77
332,5.5167,1,1018.2,1932.7,150,149,19867,0.77
333,5.5333,1,1018.2,1924.8,149,149,19902,0.77
334,5.5500,1,1018.2,1914.8,150,149,19901,0.76
335,5.5667,1,1011.4,1900.9,149,150,19892,0.79
336,5.5833,1,1004.1,1886.8,151,149,19993,0.74
337,5.6000,1,995.6,1872.0,148,150,19895,0.75
338,5.6167,1,990.0,1856.0,148,150,19748,0.77
339,5.6333,1,983.0,1852.2,148,148,19809,0.79
340,5.6500,1,977.6,1846.7,148,148,19769,0.75
341,5.6667,1,974.6,1838.8,148,149,19854,0.75
342,5.6833,1,972.1,1829.3,149,149,19858,0.75
343,5.7000,1,971.3,1819.3,149,149,19910,0.75
344,5.7167,1,970.8,1808.7,149,149,19734,0.75
345,5.7333,1,971.2,1797.9,149,149,19771,0.75
346,5.7500,1,971.3,1788.0,149,150,19913,0.75
347,5.7667,1,971.4,1778.8,149,149,19726,0.75
348,5.7833,1,971.3,1771.7,150,147,19596,0.75
349,5.8000,1,971.6,1765.8,150,147,19436,0.76
350,5.8167,1,971.9,1760.7,149,147,19259,0.75
351,5.8333,1,971.6,1756.5,150,147,19285,0.73
352,5.8500,1,971.7,1752.6,148,147,19195,0.75
353,5.8667,1,971.3,1749.5,147,148,19254,0.77
354,5.8833,1,972.7,1746.8,149,149,19562,0.73
355,5.9000,1,974.3,1743.7,150,150,19536,0.73
356,5.9167,1,975.1,1741.6,149,150,19727,0.77
357,5.9333,1,977.0,1739.3,149,150,19814,0.75
358,5.9500,1,981.1,1737.0,148,150,19703,0.75
359,5.9667,1,986.1,1736.0,150,150,19820,0.75
360,5.9833,1,992.7,1736.1,150,150,19721,0.75
361,6.0000,1,1001.0,1736.3,150,150,19745,0.75
362,6.0167,1,1007.8,1736.5,150,150,19810,0.75
363,6.0333,1,1013.7,1736.6,150,151,19923,0.73
364,6.0500,1,1021.5,1737.8,150,151,19862,0.75
365,6.0667,1,1027.7,1738.2,149,151,19755,0.77
366,6.0833,1,1032.9,1738.6,149,152,19667,0.76
367,6.1000,1,1038.4,1738.4,148,151,19781,0.77
368,6.1167,1,1041.3,1737.6,149,152,19838,0.75
369,6.1333,1,1044.5,1737.7,149,151,19693,0.75
370,6.1500,1,1046.4,1736.7,148,151,19711,0.75
371,6.1667,1,1047.0,1735.0,147,150,19627,0.76
372,6.1833,1,1047.4,1734.6,147,150,19524,0.76
373,6.2000,1,1047.2,1734.2,147,149,19409,0.75
374,6.2167,1,1047.1,1734.2,147,149,19402,0.75
375,6.2333,1,1047.2,1734.1,147,150,19394,0.77
376,6.2500,1,1047.2,1734.0,147,150,19403,0.77
377,6.2667,1,1047.2,1734.0,147,149,19386,0.77
378,6.2833,1,1047.2,1734.0,147,149,19394,0.77
379,6.3000,1,1047.2,1733.9,147,149,19394,0.77
380,6.3167,1,1047.2,1733.9,147,149,19399,0.77
381,6.3333,1,1047.4,1734.4,147,148,19282,0.77
382,6.3500,1,1046.3,1733.9,148,148,19073,0.73
383,6.3667,1,1034.9,1728.3,148,148,19014,0.74
384,6.3833,1,1017.8,1719.4,150,147,19000,0.74
385,6.4000,1,999.4,1709.5,151,145,19077,0.78
386,6.4167,1,982.3,1699.2,151,146,19210,0.77
387,6.4333,1,967.3,1688.7,150,147,19271,0.76
388,6.4500,1,953.6,1677.1,148,147,19294,0.74
389,6.4667,1,942.0,1666.3,148,147,19327,0.76
390,6.4833,1,930.5,1654.7,150,148,19564,0.77
391,6.5000,1,920.3,1643.4,149,148,19577,0.76
392,6.5167,1,908.9,1632.8,150,149,19597,0.77
393,6.5333,1,900.1,1621.3,149,150,19644,0.78
394,6.5500,1,890.0,1611.3,150,150,19644,0.77
395,6.5667,1,881.9,1601.7,149,150,19434,0.76
396,6.5833,1,875.5,1593.4,149,148,19086,0.74
397,6.6000,1,870.2,1586.8,149,149,19201,0.77
398,6.6167,1,866.1,1581.1,148,150,19312,0.74
399,6.6333,1,863.8,1576.6,150,150,19311,0.76
400,6.6500,1,861.5,1572.9,149,149,19297,0.75
401,6.6667,1,860.9,1570.0,149,150,19374,0.75
402,6.6833,1,860.1,1567.3,148,149,19496,0.79
403,6.7000,1,858.9,1567.1,148,150,19373,0.75
404,6.7167,1,858.5,1565.6,148,150,19163,0.74
405,6.7333,1,858.5,1564.8,149,149,19368,0.75
406,6.7500,1,858.1,1564.2,148,150,19319,0.76
407,6.7667,1,858.3,1563.2,148,148,19444,0.75
408,6.7833,1,857.8,1562.6,148,149,19346,0.75
409,6.8000,1,858.1,1562.6,147,148,19323,0.77
410,6.8167,1,857.6,1562.3,148,148,19348,0.75
411,6.8333,1,858.0,1561.7,148,147,19375,0.75
412,6.8500,1,857.5,1561.5,149,147,19348,0.75
413,6.8667,1,857.9,1560.6,149,148,19466,0.74
414,6.8833,1,857.9,1560.0,149,148,19498,0.74
415,6.9000,1,858.3,1558.4,149,147,19518,0.76
416,6.9167,1,860.0,1556.4,149,147,19569,0.75
417,6.9333,1,866.2,1553.0,149,147,19241,0.73
418,6.9500,1,873.8,1548.9,149,146,19318,0.77
419,6.9667,1,880.8,1545.7,149,148,19339,0.77
420,6.9833,1,887.3,1542.7,149,148,19547,0.76
421,7.0000,1,891.9,1540.5,148,150,19543,0.77
422,7.0167,1,896.0,1538.3,150,149,19516,0.76
423,7.0333,1,899.1,1535.8,150,149,19851,0.77
424,7.0500,1,901.9,1533.9,149,149,19471,0.78
425,7.0667,1,904.3,1532.0,149,149,19564,0.76
426,7.0833,1,905.9,1529.4,149,149,19573,0.76
427,7.1000,1,906.2,1527.9,151,150,19646,0.74
428,7.1167,1,905.3,1526.6,148,149,19430,0.78
429,7.1333,1,905.2,1525.5,148,148,19404,0.77
430,7.1500,1,905.4,1524.6,147,149,19462,0.79
431,7.1667,1,905.1,1523.3,147,148,19365,0.77
432,7.1833,1,905.7,1522.5,147,149,19256,0.77
433,7.2000,1,906.6,1521.7,148,149,19450,0.77
434,7.2167,1,906.3,1520.9,148,149,19604,0.78
435,7.2333,1,907.8,1520.0,149,148,19678,0.76
436,7.2500,1,907.4,1519.8,148,148,19391,0.75
437,7.2667,1,907.9,1518.7,147,148,19323,0.75
438,7.2833,1,908.9,1517.9,151,148,19457,0.76
439,7.3000,1,910.0,1517.4,149,150,19346,0.78
440,7.3167,1,910.9,1516.6,149,149,19339,0.75
441,7.3333,1,912.5,1516.0,151,149,19514,0.74
442,7.3500,1,912.9,1514.9,148,148,19141,0.77
443,7.3667,1,913.9,1514.2,148,147,19117,0.78
444,7.3833,1,914.6,1513.5,147,148,19268,0.77
445,7.4000,1,916.1,1513.7,148,148,19311,0.79
446,7.4167,1,915.9,1513.1,148,147,19169,0.79
447,7.4333,1,916.8,1512.4,148,147,19168,0.77
448,7.4500,1,918.0,1511.6,148,147,19265,0.75
449,7.4667,1,920.3,1510.7,148,148,19279,0.75
450,7.4833,1,922.6,1509.4,149,147,19447,0.78
451,7.5000,1,925.6,1508.4,150,148,19501,0.78
452,7.5167,1,928.5,1508.0,150,148,19441,0.74
453,7.5333,1,930.0,1506.9,150,148,19394,0.78
454,7.5500,1,932.9,1505.7,150,148,19393,0.78
455,7.5667,1,934.3,1505.2,151,148,19125,0.77
456,7.5833,1,937.2,1504.2,150,148,19138,0.77
457,7.6000,1,939.2,1503.0,150,148,19296,0.75
458,7.6167,1,939.5,1501.4,150,148,19222,0.79
459,7.6333,1,940.7,1500.4,150,148,19179,0.76
460,7.6500,1,943.0,1499.4,150,148,19168,0.74
461,7.6667,1,943.9,1498.8,150,148,19302,0.77
462,7.6833,1,943.6,1497.5,150,147,19285,0.74
463,7.7000,1,944.5,1497.1,150,147,19327,0.75
464,7.7167,1,945.7,1496.7,150,147,19298,0.75
465,7.7333,1,945.9,1496.4,150,148,19299,0.75
466,7.7500,1,945.9,1496.4,150,148,19299,0.75
467,7.7667,1,945.9,1496.4,150,148,19299,0.75
468,7.7833,1,945.9,1496.4,150,148,19299,0.75
469,7.8000,1,947.4,1496.1,150,148,19261,0.75
470,7.8167,1,952.5,1496.0,150,147,19274,0.75
471,7.8333,1,955.8,1495.7,149,147,19253,0.75
472,7.8500,1,958.7,1495.4,149,148,19430,0.76
473,7.8667,1,960.7,1494.3,150,147,19344,0.75
474,7.8833,1,962.5,1493.8,148,147,19238,0.74
475,7.9000,1,964.0,1493.2,149,146,19219,0.73
476,7.9167,1,966.2,1493.7,150,147,19250,0.75
477,7.9333,1,968.4,1493.1,150,147,19224,0.72
478,7.9500,1,969.7,1492.5,151,147,19213,0.75
479,7.9667,1,972.0,1492.4,152,147,19390,0.75
480,7.9833,1,974.5,1492.3,151,147,19385,0.77
481,8.0000,1,975.3,1491.5,151,147,19468,0.75
482,8.0167,1,977.2,1491.3,150,147,19330,0.75
483,8.0333,1,979.0,1490.8,150,146,19470,0.78
484,8.0500,1,980.5,1490.5,151,148,19507,0.76
485,8.0667,1,982.8,1490.5,150,148,19434,0.77
486,8.0833,1,985.4,1490.9,151,147,19570,0.76
487,8.1000,1,987.3,1490.8,151,147,19468,0.74
488,8.1167,1,991.7,1491.4,150,148,19489,0.77
489,8.1333,1,997.5,1492.5,149,148,19400,0.77
490,8.1500,1,1005.1,1494.1,149,148,19345,0.75
491,8.1667,1,1010.5,1494.8,148,147,19050,0.76
492,8.1833,1,1016.5,1495.1,149,148,19292,0.79
493,8.2000,1,1022.4,1494.9,150,148,19497,0.78
494,8.2167,1,1026.5,1494.5,150,147,19584,0.78
495,8.2333,1,1029.4,1493.7,147,148,19510,0.78
496,8.2500,1,1032.5,1493.0,149,148,19550,0.80
497,8.2667,1,1034.7,1492.1,148,149,19771,0.78
498,8.2833,1,1036.9,1491.9,150,150,19813,0.76
499,8.3000,1,1038.7,1491.4,148,151,19676,0.74
500,8.3167,1,1039.6,1491.4,148,151,19713,0.76
501,8.3333,1,1040.9,1490.9,150,152,19794,0.76
502,8.3500,1,1041.6,1490.7,149,152,19625,0.78
503,8.3667,1,1041.9,1490.2,151,151,19839,0.75
504,8.3833,1,1042.8,1490.2,150,151,19743,0.77
505,8.4000,1,1043.7,1490.1,149,151,19797,0.77
506,8.4167,1,1045.6,1490.8,149,150,19613,0.78
507,8.4333,1,1047.0,1491.0,150,151,19752,0.76
508,8.4500,1,1048.9,1490.5,150,151,19759,0.76
509,8.4667,1,1051.1,1491.5,150,151,19786,0.78
510,8.4833,1,1053.1,1491.7,153,151,19844,0.77
511,8.5000,1,1055.6,1492.3,154,151,19545,0.74
512,8.5167,1,1059.7,1492.6,152,152,19739,0.75
513,8.5333,1,1062.7,1493.2,153,151,19571,0.74
514,8.5500,1,1067.2,1493.9,152,150,19475,0.77
515,8.5667,1,1070.6,1494.0,152,148,19519,0.75
516,8.5833,1,1073.9,1494.3,150,148,19361,0.77
517,8.6000,1,1078.3,1495.3,149,147,19191,0.77
518,8.6167,1,1082.2,1496.6,149,146,19234,0.75
519,8.6333,1,1086.0,1499.0,151,146,19389,0.75
520,8.6500,1,1088.2,1499.2,152,148,19479,0.74
521,8.6667,1,1091.1,1500.6,150,148,19353,0.73
522,8.6833,1,1093.8,1501.4,147,148,19357,0.77
523,8.7000,1,1095.2,1501.9,149,149,19390,0.78
524,8.7167,1,1096.0,1502.7,149,148,19275,0.76
525,8.7333,1,1097.1,1502.5,148,149,19452,0.76
526,8.7500,1,1097.0,1502.2,148,150,19470,0.76
527,8.7667,1,1097.0,1502.9,149,150,19573,0.74
528,8.7833,1,1097.5,1503.3,148,149,19507,0.74
529,8.8000,1,1097.7,1503.6,149,149,19540,0.76
530,8.8167,1,1097.6,1503.3,150,149,19565,0.74
531,8.8333,1,1097.9,1503.5,148,150,19453,0.76
532,8.8500,1,1097.8,1503.5,150,150,19512,0.76
533,8.8667,1,1097.0,1504.1,153,150,19558,0.72
534,8.8833,1,1097.6,1504.3,150,150,19400,0.75
535,8.9000,1,1097.3,1504.4,152,150,19447,0.75
536,8.9167,1,1097.0,1504.4,154,150,19539,0.74
537,8.9333,1,1097.1,1504.5,154,150,19506,0.74
538,8.9500,1,1097.2,1504.7,153,150,19433,0.74
539,8.9667,1,1097.3,1504.7,152,150,19423,0.74
540,8.9833,1,1097.2,1504.6,153,150,19458,0.74
541,9.0000,1,1097.4,1504.7,151,150,19424,0.74
542,9.0167,1,1097.5,1504.8,151,150,19410,0.74
543,9.0333,1,1097.2,1504.4,151,151,19496,0.74
544,9.0500,1,1097.3,1504.6,151,151,19456,0.74
545,9.0667,1,1097.5,1504.6,151,150,19395,0.74
546,9.0833,1,1097.5,1504.6,151,151,19407,0.74
547,9.1000,1,1097.5,1504.6,151,151,19408,0.74
548,9.1167,1,1097.5,1504.6,151,151,19398,0.74
549,9.1333,1,1097.7,1503.4,151,151,19506,0.74
550,9.1500,1,1097.3,1501.7,150,149,19431,0.76
551,9.1667,1,1095.8,1500.2,150,149,19203,0.74
552,9.1833,1,1094.9,1497.6,150,149,19370,0.75
553,9.2000,1,1094.9,1495.5,149,148,19443,0.75
554,9.2167,1,1095.0,1493.6,151,149,19543,0.76
555,9.2333,1,1095.2,1491.8,151,150,19693,0.76
556,9.2500,1,1095.5,1490.9,150,150,19654,0.74
557,9.2667,1,1096.2,1490.0,149,149,19583,0.78
