frame,t_s,base_x,base_y,r,score,knob_x,knob_y,dist
271,4.5000,658.8,2150.0,165,40.62,661.8,2141.0,9.5
272,4.5167,658.8,2150.0,165,40.83,661.8,2141.0,9.5
273,4.5333,658.8,2149.2,165,41.20,661.8,2141.2,8.5
274,4.5500,659.8,2149.3,165,42.26,661.8,2141.3,8.2
275,4.5667,658.8,2149.2,165,42.71,660.8,2141.2,8.2
276,4.5833,659.4,2149.0,165,42.65,660.4,2141.0,8.1
277,4.6000,659.4,2149.0,165,42.72,660.4,2141.0,8.1
278,4.6167,659.4,2149.0,165,42.72,660.4,2141.0,8.1
279,4.6333,659.4,2149.0,165,42.72,660.4,2141.0,8.1
280,4.6500,659.4,2149.0,165,42.72,660.4,2141.0,8.1
281,4.6667,659.8,2149.1,165,42.59,659.8,2141.1,8.0
282,4.6833,659.8,2149.1,165,42.59,659.8,2141.1,8.0
283,4.7000,659.8,2149.1,165,42.59,659.8,2141.1,8.0
284,4.7167,658.8,2149.1,165,42.60,659.8,2141.1,8.1
285,4.7333,658.8,2149.1,165,42.60,659.8,2141.1,8.1
286,4.7500,658.8,2149.1,165,42.60,659.8,2141.1,8.1
287,4.7667,658.8,2149.1,165,42.60,659.8,2141.1,8.1
288,4.7833,658.8,2149.1,165,42.60,659.8,2141.1,8.1
289,4.8000,658.8,2149.1,165,42.60,659.8,2141.1,8.1
290,4.8167,660.0,2149.6,165,42.67,660.0,2141.6,8.0
291,4.8333,660.0,2149.6,165,42.67,660.0,2141.6,8.0
292,4.8500,660.0,2149.6,165,42.67,660.0,2141.6,8.0
293,4.8667,660.0,2149.6,165,42.67,660.0,2141.6,8.0
294,4.8833,660.0,2149.6,165,42.67,660.0,2141.6,8.0
295,4.9000,660.0,2149.6,165,42.67,660.0,2141.6,8.0
296,4.9167,659.9,2150.1,165,42.69,659.9,2141.1,9.0
297,4.9333,659.9,2150.1,165,42.67,659.9,2141.1,9.0
298,4.9500,659.9,2150.1,165,42.67,659.9,2141.1,9.0
299,4.9667,659.9,2150.1,165,42.67,659.9,2141.1,9.0
300,4.9833,659.9,2150.1,165,42.68,659.9,2141.1,9.0
301,5.0000,658.5,2150.0,165,42.69,659.5,2142.0,8.1
302,5.0167,658.5,2150.0,165,42.69,659.5,2142.0,8.1
303,5.0333,658.5,2150.0,165,42.69,659.5,2142.0,8.1
304,5.0500,658.5,2150.0,165,42.69,659.5,2142.0,8.1
305,5.0667,658.5,2150.0,165,42.69,659.5,2142.0,8.1
306,5.0833,658.5,2150.0,165,42.69,659.5,2142.0,8.1
307,5.1000,658.5,2150.0,165,42.69,659.5,2142.0,8.1
308,5.1167,658.5,2150.0,165,42.69,659.5,2142.0,8.1
309,5.1333,658.5,2150.0,165,42.69,659.5,2142.0,8.1
310,5.1500,658.5,2150.0,165,42.69,659.5,2142.0,8.1
311,5.1667,658.5,2150.0,165,42.69,659.5,2142.0,8.1
312,5.1833,658.5,2150.0,165,42.69,659.5,2142.0,8.1
313,5.2000,658.5,2150.0,165,42.69,659.5,2142.0,8.1
314,5.2167,957.9,2030.7,165,45.12,960.9,2020.7,10.4
315,5.2333,957.9,2030.7,165,45.35,960.9,2020.7,10.4
316,5.2500,958.0,2030.7,165,45.53,961.0,2020.7,10.4
317,5.2667,957.1,2030.6,165,45.51,961.1,2020.6,10.8
318,5.2833,957.1,2030.6,165,45.66,961.1,2020.6,10.8
319,5.3000,956.9,2030.1,165,45.85,983.9,2002.1,38.9
320,5.3167,957.7,2030.7,165,45.90,987.7,1998.7,43.9
321,5.3333,958.0,2030.7,165,45.80,993.0,1993.7,50.9
322,5.3500,957.9,2030.4,165,45.82,997.9,1987.4,58.7
323,5.3667,958.1,2030.8,165,45.36,1002.1,1980.8,66.6
324,5.3833,957.3,2030.6,165,45.64,1006.3,1973.6,75.2
325,5.4000,957.5,2030.2,165,44.65,1009.5,1967.2,81.7
326,5.4167,957.9,2030.9,165,44.47,1010.9,1961.9,87.0
327,5.4333,957.2,2030.9,165,43.76,1014.2,1957.9,92.6
328,5.4500,957.4,2031.1,165,44.20,1016.4,1953.1,97.8
329,5.4667,957.4,2030.3,165,44.47,1017.4,1948.3,101.6
330,5.4833,957.3,2031.2,165,45.30,1018.3,1943.2,107.1
331,5.5000,957.5,2030.7,165,45.72,1018.5,1938.7,110.4
332,5.5167,957.2,2030.7,165,41.91,1018.2,1932.7,115.4
333,5.5333,957.2,2030.8,165,37.11,1018.2,1924.8,122.3
334,5.5500,957.2,2030.8,165,35.02,1018.2,1914.8,131.1
335,5.5667,957.4,2030.9,165,35.84,1011.4,1900.9,140.8
336,5.5833,957.1,2030.8,165,35.57,1004.1,1886.8,151.5
337,5.6000,956.6,2030.0,165,37.53,995.6,1872.0,162.7
338,5.6167,958.0,2030.0,165,40.52,990.0,1856.0,176.9
339,5.6333,958.0,2029.2,165,39.24,983.0,1852.2,178.8
340,5.6500,957.6,2023.7,165,41.50,977.6,1846.7,178.1
