frame,t,screen_diam_px(extent),run_px,vext_px,rim_w,rim_h,zoom_flow_cum,world_diam_est(extent/zoom),norm_screen,norm_world
770,12.9265,294,294,164,267.2,342.3,1.0,294.0,0.0,0.0
771,12.9434,294,294,141,266.8,342.2,1.0,294.0,0.0,0.0
772,12.9602,294,294,115,266.5,342.4,1.0,294.0,0.0,0.0
773,12.977,294,140,84,266.4,342.5,1.0,294.0,0.0,0.0
774,12.9938,294,120,70,267.0,342.3,1.0,294.0,0.0,0.0
775,13.0106,293,88,44,266.3,342.3,1.0,293.0,-0.008,-0.003
776,13.0274,294,76,12,265.7,342.4,1.0,294.0,0.0,0.0
777,13.0442,106,106,137,267.8,338.6,1.0,106.0,-1.554,-0.493
778,13.061,120,120,144,267.4,331.3,1.0,120.0,-1.438,-0.457
779,13.0778,294,132,32,281.2,360.1,1.0,294.0,0.0,0.0
780,13.0946,294,144,48,281.0,360.1,1.0,294.0,0.0,0.0
781,13.1114,294,167,188,280.9,360.3,1.0,294.0,0.0,0.0
782,13.1283,294,294,188,280.9,360.3,1.0,294.0,0.0,0.0
783,13.1451,294,294,189,280.9,360.1,1.0,294.0,0.0,0.0
784,13.1619,294,294,188,280.9,360.2,1.0,294.0,0.0,0.0
785,13.1787,336,336,221,319.4,409.6,0.9923,338.6,0.347,0.117
786,13.1955,354,354,233,335.9,431.5,0.9886,358.1,0.496,0.168
787,13.2123,370,370,245,338.2,455.8,0.983,376.4,0.628,0.216
788,13.2291,384,384,258,341.5,442.6,0.9757,393.6,0.744,0.261
789,13.2459,398,396,264,354.3,457.2,0.9654,412.2,0.86,0.31
790,13.2627,416,416,278,370.0,476.0,0.9532,436.4,1.008,0.374
791,13.2795,434,434,294,388.7,495.1,0.9389,462.3,1.157,0.442
792,13.2964,454,454,307,394.0,505.8,0.9215,492.7,1.322,0.521
793,13.3132,468,468,321,401.5,521.3,0.9071,515.9,1.438,0.582
794,13.33,488,474,331,409.9,539.5,0.8927,546.6,1.603,0.663
795,13.3468,502,484,342,415.4,550.5,0.8776,572.0,1.719,0.73
796,13.3636,516,236,154,430.3,567.5,0.8616,598.9,1.835,0.8
797,13.3804,527,214,126,441.5,580.8,0.8468,622.3,1.926,0.862
798,13.3972,534,207,120,445.0,588.9,0.8318,642.0,1.983,0.913
799,13.414,538,202,368,450.0,595.6,0.8165,658.9,2.017,0.958
800,13.4308,538,212,368,464.3,603.0,0.8029,670.1,2.017,0.987
801,13.4476,534,221,367,468.4,603.1,0.7898,676.1,1.983,1.003
802,13.4644,528,235,309,471.1,602.3,0.7757,680.7,1.934,1.015
803,13.4813,522,495,360,461.4,590.4,0.7648,682.6,1.884,1.02
804,13.4981,512,493,352,451.3,578.6,0.7499,682.7,1.802,1.02
805,13.5149,504,486,346,444.9,571.7,0.7371,683.8,1.736,1.023
806,13.5317,487,487,338,430.6,554.9,0.7262,670.6,1.595,0.988
807,13.5485,481,481,331,424.5,543.8,0.7168,671.0,1.545,0.99
808,13.5653,470,470,324,419.4,533.6,0.7098,662.2,1.455,0.966
809,13.5821,459,459,314,408.4,519.5,0.6986,657.1,1.364,0.953
810,13.5989,448,448,307,399.9,509.3,0.6891,650.1,1.273,0.935
811,13.6157,438,438,300,394.9,507.5,0.6833,641.1,1.19,0.911
812,13.6325,428,428,295,385.4,497.2,0.6789,630.4,1.107,0.883
