frame,t_s,scale,peak,dx,dy
790,13.1500,0.9583,13.0,-32,-276
791,13.1667,0.9911,15.3,-78,-220
792,13.1833,0.9931,18.6,-90,-202
793,13.2000,0.9906,17.5,-98,-186
794,13.2167,0.9939,18.4,-106,-170
795,13.2333,0.9211,23.3,-126,-164
796,13.2500,0.9619,23.9,-128,-142
797,13.2667,0.9104,22.0,-142,-134
798,13.2833,0.7980,23.9,-172,-128
799,13.3000,0.7938,22.1,-146,-162
800,13.3167,0.7920,24.5,-196,-90
801,13.3333,0.7931,24.8,-166,-120
802,13.3500,0.8879,24.4,-158,-88
803,13.3667,0.9967,24.1,220,-252
804,13.3833,0.9954,28.0,212,-238
805,13.4000,0.9909,29.9,204,-226
806,13.4167,0.9804,29.8,194,-214
807,13.4333,0.9677,24.2,186,-202
808,13.4500,0.9951,25.7,180,-186
809,13.4667,0.9969,40.1,172,-176
810,13.4833,0.9952,40.9,164,-166
811,13.5000,0.9958,43.7,156,-156
812,13.5167,0.9923,49.1,148,-146
813,13.5333,0.9916,63.4,140,-136
814,13.5500,0.9915,61.9,132,-126
815,13.5667,0.9951,61.2,128,-120
816,13.5833,0.9954,65.6,120,-112
817,13.6000,0.9948,65.2,108,-100
818,13.6167,0.9954,66.3,104,-94
819,13.6333,0.9909,68.9,92,-84
820,13.6500,0.9950,66.2,84,-76
821,13.6667,0.9957,82.6,76,-68
822,13.6833,0.9935,89.6,66,-58
823,13.7000,0.9912,91.7,60,-52
824,13.7167,0.9954,107.9,50,-44
825,13.7333,0.9905,120.2,42,-36
826,13.7500,0.9954,131.8,34,-30
827,13.7667,0.9948,174.5,26,-22
828,13.7833,0.9960,153.4,16,-14
829,13.8000,0.9975,158.2,8,-8
830,13.8167,0.9991,463.1,0,0
831,13.8333,0.9953,139.9,-8,6
832,13.8500,0.9984,150.0,-18,14
833,13.8667,0.9971,109.9,-26,22
834,13.8833,0.9981,104.7,-34,28
835,13.9000,0.9974,79.8,-44,36
836,13.9167,0.9975,68.2,-52,42
837,13.9333,0.9975,53.4,-62,50
838,13.9500,0.9968,48.7,-70,56
839,13.9667,0.9963,40.5,-76,60
840,13.9833,0.9810,44.3,-86,68
841,14.0000,0.9928,38.7,-92,72
842,14.0167,0.9968,37.5,-102,80
843,14.0333,0.9955,32.5,-110,86
844,14.0500,0.9666,24.9,-122,96
845,14.0667,0.9624,23.7,-134,102
846,14.0833,0.9670,25.7,-142,110
847,14.1000,0.9695,23.5,-150,116
848,14.1167,0.9723,19.5,-160,124
849,14.1333,0.9101,18.1,-180,136
850,14.1500,0.9349,20.4,-186,142
851,14.1667,0.8701,16.7,4,50
852,14.1833,0.9530,16.6,-200,152
853,14.2000,0.7899,16.7,-42,88
854,14.2167,0.9435,18.1,-222,168
855,14.2333,0.9520,17.2,-228,176
856,14.2500,0.9908,19.0,-88,136
857,14.2667,0.8697,14.7,-116,168
858,14.2833,0.8968,19.3,-128,182
859,14.3000,0.7779,15.9,-236,-34
860,14.3167,0.7392,16.7,-214,-62
861,14.3333,0.8502,19.8,-220,-4
862,14.3500,0.7877,17.4,-224,-22
863,14.3667,0.8124,18.7,-214,-12
864,14.3833,0.8661,24.3,-208,20
865,14.4000,0.8798,24.4,-202,26
866,14.4167,0.7799,20.7,-182,-10
867,14.4333,0.9801,21.2,-174,46
868,14.4500,0.8531,17.8,-190,54
869,14.4667,0.8458,22.5,-180,62
870,14.4833,0.8590,17.3,-170,68
