frame,t_s,scale,peak,dx,dy
740,12.3167,0.9966,10.0,132,134
742,12.3500,0.9966,13.4,0,12
744,12.3833,0.9958,16.0,74,130
746,12.4167,0.9941,18.2,50,130
748,12.4500,0.9974,32.4,16,124
750,12.4833,0.9970,45.6,-14,122
752,12.5167,0.9958,30.9,-44,126
754,12.5500,0.9954,33.9,-72,126
756,12.5833,0.9943,32.6,186,-72
758,12.6167,0.9960,38.6,-128,138
760,12.6500,0.9964,42.3,-154,146
762,12.6833,0.9441,41.7,114,-36
764,12.7167,0.9886,63.9,72,-32
766,12.7500,0.9966,87.3,44,-22
768,12.7833,0.9972,122.6,22,-12
770,12.8167,0.9995,487.4,0,0
772,12.8500,0.9957,109.3,-22,12
774,12.8833,0.9959,99.1,-42,24
776,12.9167,0.9808,62.4,-58,40
778,12.9500,0.9960,72.0,-86,50
780,12.9833,0.9910,60.4,-102,66
782,13.0167,0.9489,38.6,-116,86
784,13.0500,0.9923,47.2,-146,94
786,13.0833,0.9701,45.8,-168,108
788,13.1167,0.9826,31.5,-198,128
790,13.1500,0.9898,29.2,-228,156
792,13.1833,0.9081,22.0,32,2
794,13.2167,0.9602,13.5,-214,168
796,13.2500,0.9615,14.1,-596,-282
798,13.2833,0.8477,12.6,-628,-270
800,13.3167,0.8583,14.9,62,-124
802,13.3500,0.8625,17.1,22,-74
804,13.3833,0.9584,20.2,-50,-40
806,13.4167,0.9501,16.7,-76,0
808,13.4500,0.9893,17.9,-86,2
810,13.4833,0.6988,17.6,-412,-278
812,13.5167,0.6725,16.4,-440,-256
814,13.5500,0.6693,19.6,-464,-226
816,13.5833,0.7300,15.2,-484,-192
818,13.6167,0.6600,17.5,-514,-172
820,13.6500,0.6887,17.7,-534,-148
822,13.6833,0.8088,15.7,-602,-120
824,13.7167,0.6884,18.3,-580,-102
826,13.7500,0.7369,17.8,-416,-198
828,13.7833,0.7520,18.6,-438,-178
830,13.8167,0.7110,15.8,-462,-160
832,13.8500,0.8317,16.1,-632,-32
834,13.8833,0.9092,14.8,-632,-26
836,13.9167,0.9792,18.3,-108,-118
838,13.9500,0.8986,15.3,-106,-136
840,13.9833,0.9615,16.8,-546,-80
842,14.0167,0.9813,19.7,-192,-198
844,14.0500,0.8988,17.5,-260,-162
846,14.0833,0.9811,17.0,-222,-104
848,14.1167,0.7813,18.7,-290,-90
850,14.1500,0.9491,20.5,-306,-102
852,14.1833,0.9803,22.4,-422,-78
854,14.2167,0.8390,17.6,-472,-42
856,14.2500,0.8024,19.7,-516,-2
858,14.2833,0.7059,20.1,-572,58
860,14.3167,0.9807,19.1,-538,46
862,14.3500,0.9397,15.5,-576,112
864,14.3833,0.8896,14.0,574,-104
866,14.4167,0.9123,15.3,592,-90
868,14.4500,0.9009,16.5,602,-76
870,14.4833,0.7092,14.9,550,-46
872,14.5167,0.7279,13.7,574,-30
874,14.5500,0.9184,15.8,660,-40
876,14.5833,0.6693,15.6,-546,-140
878,14.6167,0.9389,14.9,-430,-122
880,14.6500,0.9699,17.5,-572,44
882,14.6833,0.9799,13.8,-650,-66
884,14.7167,0.6699,15.2,-436,-76
886,14.7500,0.6673,14.7,-408,-58
888,14.7833,0.6899,13.5,-386,-42
890,14.8167,0.9888,11.7,-558,82
892,14.8500,0.8308,12.4,-412,-110
894,14.8833,0.6701,13.2,-436,-90
896,14.9167,0.6998,13.2,-432,2
898,14.9500,0.6600,12.8,-430,-14
900,14.9833,0.7305,13.1,-514,-78
