frame_a,frame_b,t_b,s_step,peak,cum
740,744,12.3833,0.9976,80.6,0.9976
744,748,12.4500,0.9988,59.7,0.9963
748,752,12.5167,0.9993,56.8,0.9957
752,756,12.5833,0.9995,67.0,0.9951
756,760,12.6500,0.9992,71.0,0.9944
760,764,12.7167,0.9949,51.2,0.9894
764,768,12.7833,0.9991,66.2,0.9885
768,772,12.8500,0.9882,93.9,0.9768
772,776,12.9167,0.9975,78.5,0.9743
776,780,12.9833,0.9991,92.1,0.9734
780,784,13.0500,0.9924,82.0,0.9660
784,788,13.1167,0.9931,88.4,0.9594
788,792,13.1833,0.9984,59.9,0.9579
792,796,13.2500,0.9987,100.6,0.9567
796,800,13.3167,0.9980,97.0,0.9547
800,804,13.3833,0.9989,86.9,0.9537
804,808,13.4500,0.9977,64.1,0.9516
808,812,13.5167,0.9845,84.0,0.9368
812,816,13.5833,0.9939,136.7,0.9310
816,820,13.6500,0.9947,174.5,0.9261
820,824,13.7167,0.9984,178.5,0.9247
824,828,13.7833,0.9989,195.7,0.9237
828,832,13.8500,0.9908,101.2,0.9152
832,836,13.9167,0.9991,96.7,0.9144
836,840,13.9833,0.9990,57.2,0.9134
840,844,14.0500,0.9991,44.1,0.9126
844,848,14.1167,0.9980,54.0,0.9108
848,852,14.1833,0.9979,70.1,0.9089
852,856,14.2500,0.9990,58.0,0.9080
856,860,14.3167,0.9871,63.9,0.8963
860,864,14.3833,0.9926,43.1,0.8897
864,868,14.4500,0.9990,52.0,0.8888
868,872,14.5167,0.9991,70.4,0.8879
872,876,14.5833,0.9992,100.3,0.8872
876,880,14.6500,0.9991,104.2,0.8863
880,884,14.7167,0.9991,90.5,0.8855
884,888,14.7833,0.9992,100.0,0.8849
888,892,14.8500,0.9992,85.4,0.8842
892,896,14.9167,0.9981,73.5,0.8825
896,900,14.9833,0.9991,64.9,0.8817
